Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,117,54,63,46.2%,136-163,45.5%,1417-1537,48.0%,25-20,55.6%,114,74.5%,21.7%,3.5%,3.4%,65.3%,66.0%,50.3%,60.6%,37.0%,49.0%,0.94
Clay,77,32,45,41.6%,94-114,45.2%,970-1058,47.8%,16-15,51.6%,74,68.7%,26.6%,2.1%,3.2%,67.2%,63.3%,49.0%,58.6%,39.8%,49.1%,0.96
Grass,27,14,13,51.9%,34-36,48.6%,359-365,49.6%,8-7,53.3%,27,79.9%,19.3%,4.9%,4.4%,63.5%,70.5%,49.5%,62.9%,36.3%,49.5%,0.98
Grand Slams,52,25,27,48.1%,92-100,47.9%,911-969,48.5%,16-10,61.5%,52,72.4%,24.4%,3.2%,3.5%,65.3%,65.0%,50.5%,59.9%,38.6%,49.3%,0.96
Masters,39,14,25,35.9%,38-57,40.0%,431-494,46.6%,8-5,61.5%,38,74.4%,19.4%,3.2%,2.9%,64.5%,66.0%,50.5%,60.5%,35.9%,48.3%,0.91
Other Tours,127,59,68,46.5%,129-153,45.7%,1358-1460,48.2%,25-27,48.1%,125,73.3%,23.5%,3.2%,3.6%,66.4%,65.9%,49.0%,60.2%,38.1%,49.2%,0.96
Best of 5,52,25,27,48.1%,92-100,47.9%,911-969,48.5%,16-10,61.5%,52,72.4%,24.4%,3.2%,3.5%,65.3%,65.0%,50.5%,59.9%,38.6%,49.3%,0.96
Best of 3,169,75,94,44.4%,172-213,44.7%,1835-1991,48.0%,33-32,50.8%,163,73.5%,22.4%,3.2%,3.4%,65.9%,65.9%,49.4%,60.3%,37.6%,49.0%,0.95
Finals,3,0,3,0.0%,1-6,14.3%,33-44,42.9%,0-2,0.0%,3,78.4%,10.5%,3.0%,1.7%,71.0%,63.4%,55.2%,61.0%,32.6%,46.8%,0.84
Semi-finals,9,3,6,33.3%,7-13,35.0%,84-111,43.1%,1-1,50.0%,9,69.8%,16.5%,2.1%,1.5%,68.4%,64.3%,45.3%,58.3%,33.9%,46.4%,0.81
Quarter-finals,15,9,6,60.0%,15-15,50.0%,141-154,47.8%,2-0,100.0%,14,72.1%,24.2%,2.7%,3.6%,66.4%,64.3%,51.6%,60.0%,38.6%,49.4%,0.96
vs Righties,189,87,102,46.0%,230-268,46.2%,2380-2549,48.3%,46-37,55.4%,183,73.8%,22.6%,3.3%,3.6%,65.5%,65.9%,49.9%,60.4%,37.8%,49.1%,0.95
vs Lefties,32,13,19,40.6%,34-45,43.0%,366-411,47.1%,3-5,37.5%,32,69.0%,26.2%,2.7%,2.4%,67.3%,63.5%,49.0%,58.7%,38.9%,48.9%,0.94
vs Top 10,23,3,20,13.0%,10-50,16.7%,223-350,38.9%,3-6,33.3%,22,64.2%,13.6%,2.2%,3.1%,65.0%,60.9%,48.0%,56.4%,33.4%,45.2%,0.77
