Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Korda,92.2,99.3,8.8,107.4,92.7,121,81,82.6,3.9,82.9,83.8,92,75
2023 US Open R128,L vs Murray,96.2,103.0,12.6,110.9,98.2,128,63,83.6,3.0,85.0,87.0,89,76
2022 US Open R16,L vs Ruud,93.7,100.1,7.5,101.1,99.3,116,81,82.2,5.4,82.0,83.6,97,72
2022 US Open R32,W vs Cachin,93.3,101.4,7.2,104.8,97.0,124,78,81.2,4.9,79.3,84.3,92,72
2022 US Open R64,W vs Van De Zandschulp,98.0,104.0,7.6,108.0,99.0,118,79,87.2,4.8,89.8,85.4,104,77
2022 US Open R128,W vs Wawrinka,92.0,95.7,8.4,102.0,92.7,117,74,79.1,5.5,83.0,77.0,86,64
2021 US Open R64,L vs Berrettini,93.9,100.7,10.4,106.1,96.3,128,73,81.0,6.7,82.6,82.0,119,72
2021 US Open R128,W vs Travaglia,100.3,104.9,9.8,109.9,101.6,130,86,90.2,8.5,83.4,80.0,111,76
2020 US Open R32,L vs Auger Aliassime,95.9,101.6,6.2,106.6,97.9,115,88,86.8,4.5,85.8,91.0,99,77
2020 US Open R64,W vs Evans,97.6,104.2,9.4,109.0,98.3,123,64,84.2,5.4,80.3,94.0,94,67
2019 Wimbledon R64,L vs Auger Aliassime,101.9,105.0,6.6,108.2,99.7,124,93,91.0,4.2,92.3,92.0,97,81
2019 Roland Garros R32,L vs Londero,99.2,103.4,8.0,,,125,81,87.7,4.5,,,96,78
2019 Roland Garros R64,W vs Pella,94.2,96.6,8.4,,,119,80,86.8,5.4,,,101,79
2019 Roland Garros R128,W vs Vatutin,96.5,101.9,8.3,,,118,86,87.2,3.9,,,94,80
Career (14 matches),,96.2,101.8,8.5,107.0,97.6,130,63,84.8,5.0,83.7,85.3,119,64
