Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,7,3,4,42.9%,1,0,1,0.0%,2019,2024,Q2,7,1.01,1.3%,3.4%,64.4%,62.7%,43.5%,55.9%,44.4%,63.0%,80.0%
Roland Garros,5,Clay,11,6,5,54.5%,1,0,1,0.0%,2019,2024,R128,11,1.02,0.6%,3.1%,63.9%,51.9%,45.9%,49.7%,51.3%,41.5%,50.0%
Wimbledon,5,Grass,8,3,5,37.5%,1,0,1,0.0%,2019,2024,Q3,8,0.93,0.7%,4.9%,67.6%,64.2%,48.6%,59.1%,37.8%,51.9%,43.8%
US Open,7,Hard,8,1,7,12.5%,2,0,2,0.0%,2018,2024,R128,8,0.85,1.9%,4.0%,60.1%,59.2%,48.1%,54.7%,38.7%,56.1%,48.0%
Prague,2,Clay,4,2,2,50.0%,0,0,0,-,2023,2024,R32,4,1.03,1.0%,3.7%,63.7%,55.9%,45.8%,52.2%,49.3%,48.8%,47.9%
Budapest,2,Clay,3,1,2,33.3%,0,0,0,-,2024,2024,Q2,2,0.85,0.7%,7.2%,61.9%,54.7%,43.4%,50.4%,42.2%,67.9%,60.0%
Bastad 125,2,Clay,5,3,2,60.0%,0,0,0,-,2022,2024,QF,5,1.05,0.6%,4.2%,71.2%,58.6%,42.7%,54.0%,48.2%,42.9%,45.8%
Valencia 125,2,Clay,4,2,2,50.0%,1,1,0,100.0%,2022,2024,R16,4,1.02,0.6%,7.6%,62.0%,56.8%,44.4%,52.1%,48.7%,54.3%,39.7%
Palermo,3,Clay,4,1,3,25.0%,1,0,1,0.0%,2019,2023,R16,4,0.93,1.0%,3.1%,68.5%,52.5%,40.9%,48.8%,47.6%,46.5%,51.2%
Dubai,4,Hard,8,4,4,50.0%,0,0,0,-,2018,2023,R64,8,0.95,1.1%,4.4%,61.1%,58.8%,45.7%,53.7%,43.8%,46.7%,53.7%
