Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,22,7,15,31.8%,18-31,36.7%,198-258,43.4%,3-2,60.0%,21,53.7%,32.4%,1.4%,4.5%,63.4%,56.7%,43.4%,51.8%,42.7%,47.3%,0.89
Clay,17,4,13,23.5%,13-27,32.5%,152-206,42.5%,0-1,0.0%,15,45.3%,41.3%,0.8%,4.5%,64.2%,52.9%,41.2%,48.7%,46.0%,47.3%,0.90
Grand Slams,3,0,3,0.0%,1-6,14.3%,16-38,29.6%,0-0,-,3,34.6%,25.0%,0.5%,4.1%,57.1%,45.5%,45.2%,45.4%,40.4%,43.0%,0.74
Premiers,5,1,4,20.0%,4-8,33.3%,50-67,42.7%,1-0,100.0%,5,54.4%,30.5%,0.8%,1.9%,70.0%,55.2%,46.4%,52.5%,42.3%,47.3%,0.89
Internationals,26,8,18,30.8%,22-38,36.7%,242-308,44.0%,1-3,25.0%,26,50.2%,38.5%,1.2%,4.7%,63.0%,55.5%,42.1%,50.6%,44.9%,47.7%,0.91
Semi-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,14.3%,25.0%,0.0%,3.0%,65.7%,50.0%,26.1%,41.8%,36.6%,39.8%,0.63
Quarter-finals,2,1,1,50.0%,2-2,50.0%,14-14,50.0%,0-0,-,2,57.1%,42.9%,4.4%,6.7%,56.7%,66.7%,38.5%,54.4%,44.2%,49.7%,0.97
vs Righties,37,12,25,32.4%,33-52,38.8%,347-435,44.4%,3-2,60.0%,33,49.3%,38.1%,1.1%,4.4%,63.9%,54.8%,41.9%,50.1%,44.8%,47.5%,0.90
vs Lefties,4,0,4,0.0%,1-8,11.1%,31-54,36.5%,0-1,0.0%,3,59.4%,15.2%,0.9%,5.1%,61.8%,59.0%,48.2%,54.8%,37.3%,45.8%,0.83
vs Top 10,2,0,2,0.0%,2-4,33.3%,24-32,42.9%,0-0,-,2,46.4%,39.3%,0.6%,1.7%,68.9%,50.8%,44.6%,48.9%,46.3%,47.6%,0.91
