Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2019-10-14),,,,,,,,,,,897,29,,
2018,499,11,,,,,,,,,790,45,,
2017,405,96,,,,,,,,,830,44,,
2016,260,201,,,,,,,,,531,100,,
2015,602,53,,,,,,,,,,,,
2014,981,12,,,,,,,,,,,,
2013,982,11,,,,,,,,,1405,10,,
2012,516,63,,,,,,,,,490,113,,
2011,440,82,,,,,,,,,704,52,,
2010,611,35,,,,,,,,,1149,15,,
2009,382,99,,,,,,,,,821,35,,
2008,382,85,,,,,,,,,1287,12,,
2007,603,34,,,,,,,,,619,59,,
2006,870,13,,,,,,,,,1661,1,,
2005,,,,,,,,,,,1463,4,,
