Date,Tournament,Surface,Rd,,Score
02-Jan-1967,Sydney Manly,Grass,F,Newcombe / Lesley Turner [AUS] d. Fred Stolle [AUS] / Betty Stove [NED],6-3 6-2
01-Aug-1966,Hamburg,Clay,F,Newcombe / Margaret Court [AUS] d. Fred Stolle [AUS] / Maria Bueno [BRA],4-6 7-5 6-3
17-May-1965,Roland Garros,Clay,F,Ken Fletcher / Margaret Court [AUS] d. Newcombe / Maria Bueno [BRA],6-4 6-4
13-Jan-1965,Hobart,Grass,F,Pierre Darmon / Rosie Reyes [FRA] d. Newcombe / Carol Sherriff [AUS],6-4 6-4
26-Dec-1964,Adelaide,Grass,F,Owen Davidson / Robyn Ebbern [AUS] d. Newcombe / Billie Jean King [USA],9-7 6-4
02-Sep-1964,US National Championships,Grass,F,Newcombe / Margaret Court [AUS] d. Ed Rubinoff [USA] / Judy Tegart [AUS],10-8 4-6 6-3
01-Jun-1964,Lausanne,Clay,F,Newcombe / Margaret Court [AUS] d. Frank Froehling / Justina Bricka [USA],6-0 6-0
04-May-1964,Rome,Clay,F,Newcombe / Margaret Court [AUS] d. Thomaz Koch / Maria Bueno [BRA],3-6 7-5 6-2
27-Apr-1964,Reggio Calabria,Clay,F,Bob Hewitt [RSA] / Robyn Ebbern [AUS] d. Newcombe / Margaret Court [AUS],6-3 6-4
03-Feb-1964,Auckland,Grass,F,Fred Stolle / Margaret Court [AUS] d. Newcombe / Jan Lehane [AUS],6-4 6-4
05-Oct-1963,Sydney Metro,Grass,F,Newcombe / Kaye Dening [AUS] d. Fred Stolle / Mary Hawton [AUS],4-6 6-3 6-2
05-Aug-1963,Hamburg,Clay,F,Fred Stolle / Lesley Turner [AUS] d. Newcombe / Norma Baylon [ARG],2-6 9-7 9-7
01-Apr-1963,Penang,,F,Newcombe / Noelene Turner [AUS] d. Lew Gerard / Ethne Green [NZL],6-4 6-4
11-Nov-1962,Adelaide,Grass,F,Bob Howe [AUS] / Christine Truman [GBR] d. Newcombe / Jan Lehane [AUS],6-4 9-7
15-Oct-1962,Brisbane,Clay,F,Newcombe / Jan Lehane [AUS] d. Fred Stolle / Lesley Turner [AUS],3-6 7-5 6-3
07-Aug-1962,Ostend,Clay,F,Newcombe / Jill Blackman [AUS] d. Ken Fletcher [AUS] / Rita Bentley [GBR],6-4 6-3
21-Aug-1961,Brumana,Clay,F,Jose Edison Mandarino [BRA] / Carmen Coronado [ESP] d. Newcombe / Dora Schuster [AUT],UNK
14-Aug-1961,Istanbul,Clay,F,Newcombe / Dora Schuster [AUT] d. Iyo Pimentel [VEN] / Susan Butt [CAN],6-3 6-2
