Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,R32,Charlie Pasarell / Erik Van Dillen [USA] d. Newcombe / Tony Roche [AUS],3-6 6-3 7-6 6-4
22-Jun-1970,Wimbledon,Grass,F,(1) Newcombe / Tony Roche [AUS] d. Ken Rosewall / Fred Stolle [AUS],10-8 6-3 6-1
22-Jun-1970,Wimbledon,Grass,SF,(1) Newcombe / Tony Roche [AUS] d. Bob Hewitt / Frew Mcmillan [RSA],7-5 8-6 5-7 5-7 6-4
22-Jun-1970,Wimbledon,Grass,QF,(1) Newcombe / Tony Roche [AUS] d. Terry Addison / Bob Carmichael [AUS],6-4 6-4 6-4
22-Jun-1970,Wimbledon,Grass,R16,(1) Newcombe / Tony Roche [AUS] d. Brian Fairlie / Onny Parun [NZL],6-2 6-2 6-2
22-Jun-1970,Wimbledon,Grass,R32,(1) Newcombe / Tony Roche [AUS] d. Sergei Likhachev / Alex Metreveli [RUS],6-4 6-4 7-5
22-Jun-1970,Wimbledon,Grass,R64,(1) Newcombe / Tony Roche [AUS] d. Gerald Battrick / Peter Curtis [GBR],13-11 5-7 8-6 8-6
19-Jan-1970,Australian Open,Grass,QF,(8) John Alexander / Phil Dent [AUS] d. Newcombe / Nikola Pilic [CRO],6-4 11-9
19-Jan-1970,Australian Open,Grass,R16,(1) Newcombe / Nikola Pilic [CRO] d. Gerald Battrick [GBR] / Lenny Schloss [USA],6-3 6-4
27-Aug-1969,US Open,Grass,QF,Charlie Pasarell / Dennis Ralston [USA] d. Newcombe / Tony Roche [AUS],6-4 3-2 RET
27-Aug-1969,US Open,Grass,R16,(1) Newcombe / Tony Roche [AUS] d. Dick Leach / Robert Potthast [USA],6-3 6-4 6-4
27-Aug-1969,US Open,Grass,R32,(1) Newcombe / Tony Roche [AUS] d. Andres Gimeno / Manuel Santana [ESP],6-4 6-2 6-2
27-Aug-1969,US Open,Grass,R64,(1) Newcombe / Tony Roche [AUS] d. Herb Fitzgibbon / Cliff Richey [USA],6-4 6-4 8-6
23-Jun-1969,Wimbledon,Grass,F,(1) Newcombe / Tony Roche [AUS] d. Tom Okker [NED] / Marty Riessen [USA],7-5 11-9 6-3
23-Jun-1969,Wimbledon,Grass,SF,(1) Newcombe / Tony Roche [AUS] d. Bob Hewitt / Frew Mcmillan [RSA],3-6 6-3 14-12 6-2
23-Jun-1969,Wimbledon,Grass,QF,(1) Newcombe / Tony Roche [AUS] d. Daniel Contet / Francois Jauffret [FRA],6-1 6-4 6-2
23-Jun-1969,Wimbledon,Grass,R16,(1) Newcombe / Tony Roche [AUS] d. Manuel Orantes [ESP] / Vic Seixas [USA],6-3 6-4 6-2
23-Jun-1969,Wimbledon,Grass,R32,(1) Newcombe / Tony Roche [AUS] d. Roger Becker / Alan Mills [GBR],6-2 10-8 6-2
23-Jun-1969,Wimbledon,Grass,R64,(1) Newcombe / Tony Roche [AUS] d. Mark Cox / Peter Curtis [GBR],9-7 11-9 6-2
28-May-1969,Roland Garros,Clay,F,(1) Newcombe / Tony Roche [AUS] d. Roy Emerson / Rod Laver [AUS],4-6 6-1 3-6 6-4 6-4
