Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2006 US Open R128,L vs Agassi,4.2,4.5,3.8,50.8%,45.1%,38.2%,57.6%,43.7%,17.9%,-2.0,-0.9,-3.5,-1.4
2004 Indian Wells R64,L vs Federer,3.6,4.1,2.9,37.9%,42.9%,60.0%,0.0%,53.0%,28.6%,2.0,2.8,-5.0,-11.4
2003 Paris F,L vs Henman,3.2,3.4,3.0,46.1%,33.3%,60.0%,62.5%,40.1%,22.6%,-4.5,-6.1,7.5,8.5
2003 Paris SF,W vs Novak,4.7,4.1,5.3,49.0%,51.1%,52.9%,66.7%,55.8%,25.7%,1.0,0.6,9.0,8.6
2002 Hamburg R32,L vs Kuerten,4.4,5.5,3.4,36.2%,56.8%,61.5%,30.8%,50.4%,22.6%,3.0,2.6,4.0,4.5
2002 Miami QF,L vs Federer,3.5,3.8,3.2,40.7%,25.0%,80.0%,33.3%,50.5%,35.3%,-6.5,-12.5,2.0,6.3
2001 Canada F,W vs Rafter,2.7,3.2,2.1,46.0%,61.1%,100.0%,50.0%,42.5%,20.2%,2.5,4.4,5.5,8.2
2001 Canada SF,W vs Haas,4.2,4.3,3.9,61.9%,44.8%,45.5%,76.9%,57.1%,15.4%,3.5,3.5,10.0,15.2
2001 Canada QF,W vs Roddick,3.8,4.6,2.9,49.6%,50.0%,83.3%,47.1%,51.6%,23.5%,6.5,4.9,11.0,11.2
2000 Basel R16,L vs Federer,3.3,3.0,3.5,45.8%,40.0%,55.6%,80.0%,51.5%,31.8%,-0.5,-0.7,-4.0,-8.9
2000 Hamburg SF,L vs Kuerten,4.8,5.1,4.4,37.5%,42.1%,50.0%,54.5%,44.2%,20.7%,3.5,3.8,1.5,1.6
Career (11 matches),,3.8,4.2,3.5,46.7%,45.4%,56.2%,54.3%,48.7%,22.4%,0.8,0.7,3.5,3.9
