Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2009,600,40,,,,,,,,,95,735,41,1710
2008,1142,5,,,,,,,,,574,75,,
2007,75,518,53,1779,58,1716,43,1756,54,1650,22,1835,24,1772
2006,113,389,74,1719,78,1659,59,1715,58,1634,41,1127,33,1695
2005,80,500,61,1771,61,1708,38,1785,58,1654,42,1161,54,1651
2004,18,1325,21,1893,18,1849,21,1849,35,1730,73,878,75,1599
2003,69,519,39,1848,42,1765,25,1836,,,801,29,,
2002,26,1225,24,1903,30,1823,21,1873,28,1746,66,885,40,1670
2001,28,1105,33,1873,24,1851,32,1834,26,1731,262,195,,
2000,27,1105,30,1890,31,1820,22,1870,29,1750,442,80,,
1999,41,962,50,1824,47,1770,51,1786,43,1686,113,585,,
1998,68,710,104,1710,63,1728,113,1648,108,1554,203,323,,
1997,118,409,113,1708,104,1652,102,1670,76,1615,277,205,,
1996,135,332,139,1679,160,1563,105,1684,88,1611,172,370,,
1995,214,,197,1589,182,1555,173,1575,,,194,279,,
1994,408,,,,,,,,,,267,187,,
1993,311,,,,,,,,,,529,55,,
1992,489,,,,,,,,,,718,17,,
1991,548,,,,,,,,,,372,82,,
1990,460,,,,,,,,,,677,13,,
