Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2013,261,220,,,,,,,,,,,,
2012,243,230,,,,,,,,,,,,
2011,178,360,175,1491,160,1493,162,1454,156,1444,1235,3,,
2010,95,701,146,1602,150,1539,115,1583,108,1534,,,,
2009,96,652,126,1631,118,1600,145,1532,160,1455,,,,
2008,167,191,161,1569,120,1601,200,1413,,,,,,
2007,177,174,213,1352,208,1374,211,1300,183,1320,,,,
2006,156,176,203,1436,195,1403,199,1368,177,1374,,,,
2005,204,165,,,,,,,,,,,,
2004,382,52,,,,,,,,,,,,
2003,639,14,,,,,,,,,,,,
2002,919,5,,,,,,,,,,,,
