Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),210,283,311,1457,271,1444,307,1391,,,,,,
2025,214,274,315,1449,280,1439,302,1388,,,,,,
2024,262,208,331,1415,343,1352,293,1398,,,1354,17,,
2023,287,193,354,1367,345,1327,318,1353,,,,,,
2022,281,184,341,1389,346,1328,308,1381,248,1300,,,,
2021,207,316,295,1427,280,1396,267,1409,242,1328,,,,
2020,152,426,204,1512,211,1448,165,1500,,,728,47,,
2019,151,347,267,1471,290,1402,213,1470,245,1362,903,29,,
2018,222,224,216,1517,252,1414,186,1494,,,327,110,,
2017,259,198,298,1407,326,1317,253,1403,237,1350,614,78,,
2016,213,249,285,1422,287,1358,248,1415,,,771,56,,
2015,252,206,309,1398,287,1361,273,1387,,,1484,10,,
2014,366,120,289,1408,269,1379,264,1388,216,1376,798,46,,
2013,232,203,243,1485,260,1401,210,1469,,,749,52,,
2012,526,61,,,,,,,,,785,45,,
2011,746,20,,,,,,,,,1623,6,,
2010,968,8,,,,,,,,,1191,12,,
2009,1157,5,,,,,,,,,875,30,,
2008,1342,3,,,,,,,,,,,,
