Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2010 s Hertogenbosch F,W vs Petkovic,30.3%,38.2%,54.0%,33.3%,43.8%,56.3%,68.2%,19.2%,0.0%,28.0%,32.0%,50.0%,7.7%,25.0%,-,25
2010 Stuttgart F,W vs Stosur,27.5%,40.0%,53.7%,36.5%,51.9%,54.5%,30.8%,19.2%,0.0%,12.5%,20.8%,52.4%,0.0%,70.6%,-,5
2010 Miami SF,L vs Clijsters,19.0%,22.4%,46.5%,24.6%,30.4%,42.3%,56.7%,12.8%,0.0%,12.8%,12.8%,52.9%,0.0%,37.5%,66.7%,4
2010 Miami QF,W vs Wozniacki,17.9%,28.6%,58.6%,29.0%,41.9%,68.2%,58.6%,9.1%,0.0%,4.4%,13.3%,48.8%,5.6%,22.2%,100.0%,-73
2010 Australian Open F,L vs Williams,26.3%,30.3%,40.0%,28.2%,35.9%,42.9%,35.7%,8.0%,0.0%,29.0%,29.0%,36.4%,57.1%,20.0%,100.0%,92
2010 Australian Open SF,W vs Zheng,36.1%,47.2%,65.0%,52.6%,73.7%,66.7%,38.5%,16.7%,-,21.4%,21.4%,63.6%,66.7%,9.1%,0.0%,84
2010 Australian Open R64,W vs Dementieva,11.6%,14.3%,47.3%,17.9%,19.6%,43.5%,11.5%,20.0%,28.6%,6.3%,10.4%,51.1%,0.0%,36.0%,50.0%,-57
2010 Brisbane F,L vs Clijsters,21.7%,31.3%,47.5%,34.5%,43.1%,44.7%,56.3%,26.9%,28.6%,10.6%,23.4%,50.0%,16.7%,69.0%,66.7%,-18
2010 Brisbane R16,W vs Karatantcheva,27.6%,36.2%,46.2%,31.4%,45.7%,45.8%,35.3%,16.7%,-,25.0%,25.0%,46.7%,11.1%,0.0%,0.0%,53
2008 Miami QF,L vs Williams,22.2%,27.8%,22.2%,31.0%,37.9%,30.0%,64.7%,16.7%,0.0%,15.8%,21.1%,12.5%,0.0%,16.7%,0.0%,25
2008 Australian Open QF,L vs Sharapova,18.2%,24.2%,36.7%,31.3%,43.8%,36.4%,13.3%,5.9%,0.0%,6.9%,6.9%,37.0%,6.3%,46.2%,80.0%,-51
2008 Australian Open R64,W vs Puchkova,21.4%,28.6%,56.8%,24.2%,33.3%,48.0%,33.3%,0.0%,0.0%,25.0%,31.3%,75.0%,14.3%,22.2%,0.0%,81
2007 WTA Championships F,W vs Sharapova,25.4%,33.1%,51.2%,32.3%,41.5%,61.4%,46.4%,8.1%,0.0%,20.0%,26.7%,38.9%,4.3%,59.1%,83.3%,77
2007 Zurich F,W vs Golovin,17.2%,25.0%,57.1%,22.2%,33.3%,57.1%,43.8%,10.0%,0.0%,12.5%,16.7%,57.1%,0.0%,66.7%,100.0%,5
2007 US Open F,W vs Kuznetsova,26.2%,29.5%,63.2%,30.6%,36.1%,68.0%,11.8%,21.1%,0.0%,27.8%,27.8%,53.8%,0.0%,27.3%,-,111
2007 US Open SF,W vs Williams,27.1%,31.4%,55.3%,34.1%,41.5%,48.1%,35.7%,18.5%,0.0%,20.0%,20.0%,65.0%,0.0%,0.0%,0.0%,62
2007 US Open QF,W vs Williams,22.4%,31.6%,62.3%,28.9%,42.1%,70.4%,60.0%,4.3%,0.0%,18.8%,25.0%,53.8%,0.0%,12.5%,50.0%,63
2007 US Open R16,W vs Safina,32.5%,37.5%,40.0%,39.1%,47.8%,50.0%,54.5%,16.7%,-,26.7%,26.7%,27.3%,0.0%,11.1%,0.0%,38
2007 US Open R32,W vs Makarova,25.7%,40.0%,70.8%,38.1%,52.4%,61.5%,50.0%,11.1%,0.0%,8.3%,25.0%,81.8%,0.0%,12.5%,-,-36
2007 US Open R64,W vs Pironkova,28.6%,35.7%,58.6%,45.5%,54.5%,41.7%,30.0%,0.0%,0.0%,10.5%,15.8%,70.6%,0.0%,9.1%,-,-43
Career (86 matches),,21.2%,28.8%,51.0%,28.8%,39.6%,53.3%,48.4%,17.1%,11.3%,14.3%,19.0%,48.4%,14.5%,48.2%,61.4%,23
