Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,14,Hard,22,8,14,36.4%,9,1,8,11.1%,2013,2026,R64,20,0.92,10.5%,5.1%,57.4%,72.5%,44.3%,60.5%,36.2%,59.6%,41.4%
Roland Garros,12,Clay,29,17,12,58.6%,23,13,10,56.5%,2013,2025,R16,26,1.06,9.0%,4.0%,54.7%,73.4%,50.8%,63.2%,39.0%,57.1%,36.2%
Wimbledon,11,Grass,23,12,11,52.2%,22,9,13,40.9%,2013,2025,R32,20,0.98,13.5%,5.1%,56.4%,79.2%,51.3%,67.1%,32.2%,70.2%,30.8%
US Open,13,Hard,27,14,13,51.9%,15,7,8,46.7%,2011,2025,R16,25,1.02,11.6%,7.7%,52.7%,78.3%,46.5%,63.2%,37.6%,55.3%,37.7%
Olympics,3,,5,3,2,60.0%,0,0,0,-,2016,2024,W,2,1.42,7.3%,7.3%,67.7%,80.0%,48.4%,69.8%,43.0%,33.3%,28.6%
Davis Cup,11,,29,17,12,58.6%,23,11,12,47.8%,2015,2026,,19,1.01,11.7%,3.6%,57.4%,76.7%,50.3%,65.5%,35.0%,58.9%,42.7%
Miami Masters,12,Hard,22,10,12,45.5%,6,2,4,33.3%,2013,2026,R32,22,1.00,9.4%,4.5%,56.0%,74.1%,49.9%,63.5%,36.7%,58.2%,43.1%
Indian Wells Masters,10,Hard,19,9,10,47.4%,8,3,5,37.5%,2015,2026,R16,19,1.00,10.1%,4.6%,54.9%,76.4%,49.6%,64.3%,35.6%,68.0%,31.1%
Dubai,9,Hard,16,6,10,37.5%,7,3,4,42.9%,2017,2026,QF,16,0.96,12.3%,3.7%,57.8%,76.2%,49.0%,64.7%,33.8%,62.5%,40.0%
Rotterdam,10,Hard,14,4,10,28.6%,8,3,5,37.5%,2015,2026,R16,14,0.98,10.7%,4.0%,57.6%,76.2%,50.5%,65.3%,34.0%,65.6%,33.3%
Auckland,4,Hard,10,6,4,60.0%,7,3,4,42.9%,2015,2026,SF,10,1.12,14.0%,3.0%,60.2%,77.9%,50.9%,67.2%,36.8%,59.5%,30.8%
Hong Kong,2,Hard,5,3,2,60.0%,7,5,2,71.4%,2024,2026,R16,5,1.07,10.7%,2.6%,59.1%,73.9%,51.6%,64.8%,37.8%,66.7%,34.2%
