Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 US Open R16,L vs Djokovic,0.0%,-,7.2%,45.5%,12.0%,0.0%,0.0%,8.6%,0.0%,0.4%,100.0%,-30,1
2025 Auckland R16,L vs Monfils,5.8%,100.0%,10.2%,75.0%,16.7%,13.6%,40.0%,6.7%,0.0%,0.0%,-,0,-37
2024 Davis Cup Finals RR,L vs Griekspoor,21.4%,77.8%,20.3%,74.4%,21.7%,46.2%,25.0%,20.0%,66.7%,0.0%,-,52,64
2024 Paris R32,L vs Fils,41.1%,73.9%,18.4%,74.1%,18.2%,21.4%,0.0%,6.7%,25.0%,0.0%,-,47,20
2024 Gstaad SF,L vs Halys,27.3%,72.2%,19.3%,65.4%,25.0%,33.3%,33.3%,33.3%,80.0%,1.1%,0.0%,149,31
2024 Halle R16,W vs Tsitsipas,28.9%,61.5%,17.1%,68.4%,37.0%,50.0%,0.0%,6.7%,0.0%,0.0%,-,66,0
2024 Stuttgart R16,W vs Rinderknech,22.2%,70.0%,10.9%,71.4%,44.0%,62.5%,0.0%,28.6%,75.0%,1.9%,0.0%,186,105
2024 Stuttgart R32,W vs Cobolli,35.6%,87.5%,16.4%,80.0%,63.6%,50.0%,0.0%,25.0%,100.0%,0.0%,-,196,89
2024 Madrid R32,W vs Humbert,7.0%,75.0%,9.2%,83.3%,20.3%,27.3%,0.0%,9.6%,27.3%,0.0%,-,-16,-29
2024 Munich F,W vs Fritz,1.8%,0.0%,18.0%,72.7%,23.9%,22.7%,20.0%,15.0%,50.0%,0.5%,100.0%,77,36
2024 Munich SF,W vs Rune,3.6%,100.0%,6.5%,80.0%,44.8%,50.0%,0.0%,12.5%,33.3%,0.0%,-,179,147
2024 Monte Carlo R16,L vs Sinner,8.5%,40.0%,7.3%,50.0%,18.3%,23.8%,40.0%,1.8%,0.0%,0.0%,-,-20,-2
2024 Monte Carlo R64,W vs Baez,10.3%,66.7%,14.1%,63.3%,11.9%,23.8%,7.7%,5.5%,25.0%,0.0%,-,-7,18
2024 Miami R64,W vs Altmaier,27.1%,76.9%,28.0%,66.7%,17.5%,38.9%,0.0%,22.0%,36.4%,0.0%,-,87,48
2024 Indian Wells R32,L vs Sinner,36.4%,60.0%,26.4%,58.6%,11.9%,16.7%,100.0%,12.1%,60.0%,0.0%,-,5,4
2024 Dubai R32,L vs Hurkacz,26.7%,88.9%,18.8%,83.3%,12.8%,25.8%,12.5%,13.0%,27.3%,0.0%,-,44,57
2024 Rotterdam R16,L vs Ruusuvuori,28.9%,45.5%,17.3%,44.4%,6.8%,22.2%,0.0%,0.0%,0.0%,0.0%,-,0,-1
2024 Australian Open R128,W vs Hijikata,32.9%,70.0%,22.9%,67.9%,20.5%,28.6%,20.0%,7.8%,29.2%,0.0%,-,77,73
2023 Basel R16,L vs Hurkacz,31.7%,47.4%,22.3%,48.0%,13.5%,33.3%,0.0%,11.4%,0.0%,0.0%,-,78,43
2023 Beijing R32,L vs Ruud,24.4%,63.2%,18.2%,62.1%,8.3%,9.5%,0.0%,24.1%,61.5%,0.0%,-,68,19
Career (63 matches),,19.1%,68.3%,16.4%,67.6%,16.5%,26.6%,14.0%,9.9%,32.3%,0.2%,38.9%,37,42
