Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 US Open R16,L vs Djokovic,25.6%,34.6%,40.4%,31.9%,37.5%,50.0%,40.0%,49.8%,40.9%,33.3%,0.0%,15.6%,21.9%,40.7%,27
2025 Auckland R16,L vs Monfils,19.6%,28.6%,58.1%,25.5%,35.7%,46.4%,55.6%,47.5%,50.0%,37.5%,-,3.8%,11.5%,60.0%,-79
2024 Davis Cup Finals RR,L vs Griekspoor,40.2%,55.7%,56.1%,46.0%,53.2%,69.4%,48.3%,62.3%,50.0%,41.2%,66.7%,17.6%,32.4%,64.3%,-36
2024 Paris R32,L vs Fils,39.4%,47.0%,41.7%,46.1%,54.1%,64.9%,58.8%,65.9%,63.2%,33.3%,50.0%,24.0%,28.0%,26.3%,109
2024 Gstaad SF,L vs Halys,30.9%,52.9%,53.7%,39.9%,48.5%,81.8%,70.6%,67.0%,53.3%,50.0%,100.0%,17.2%,31.0%,41.7%,39
2024 Halle R16,W vs Tsitsipas,47.2%,66.0%,63.0%,53.8%,58.1%,80.6%,61.5%,69.4%,56.3%,46.7%,-,33.3%,47.6%,64.3%,-10
2024 Stuttgart R16,W vs Rinderknech,46.6%,65.5%,71.4%,55.9%,52.9%,70.6%,68.8%,68.8%,46.7%,42.1%,-,42.9%,66.7%,75.0%,110
2024 Stuttgart R32,W vs Cobolli,63.8%,82.8%,72.2%,69.0%,73.0%,89.2%,70.0%,81.1%,60.0%,50.0%,-,55.6%,83.3%,75.0%,137
2024 Madrid R32,W vs Humbert,27.0%,41.3%,73.2%,33.8%,38.2%,52.9%,61.9%,50.9%,50.0%,33.3%,-,16.7%,33.3%,85.0%,34
2024 Munich F,W vs Fritz,24.1%,37.9%,54.5%,35.3%,33.3%,54.5%,68.2%,53.0%,47.1%,37.5%,33.3%,12.0%,16.0%,40.9%,-79
2024 Munich SF,W vs Rune,47.2%,63.9%,66.7%,54.2%,57.1%,81.0%,88.9%,69.0%,66.7%,33.3%,0.0%,35.7%,42.9%,44.4%,22
2024 Monte Carlo R16,L vs Sinner,23.8%,36.5%,41.9%,25.6%,37.9%,41.4%,33.3%,41.7%,63.2%,70.0%,0.0%,13.8%,37.9%,48.0%,11
2024 Monte Carlo R64,W vs Baez,31.3%,37.5%,41.0%,35.8%,50.0%,58.3%,54.2%,59.2%,56.5%,36.0%,40.0%,14.0%,18.6%,32.4%,19
2024 Miami R64,W vs Altmaier,26.9%,42.3%,63.9%,37.3%,31.3%,50.0%,68.2%,48.1%,60.0%,58.8%,100.0%,22.2%,33.3%,57.1%,72
2024 Indian Wells R32,L vs Sinner,29.3%,44.8%,50.0%,39.5%,36.6%,53.7%,53.8%,51.0%,47.4%,59.1%,75.0%,12.5%,25.0%,42.9%,10
2024 Dubai R32,L vs Hurkacz,36.4%,48.3%,65.8%,47.1%,48.8%,63.7%,75.6%,64.5%,53.1%,50.0%,33.3%,11.1%,16.7%,53.1%,-2
2024 Rotterdam R16,L vs Ruusuvuori,29.2%,35.4%,40.6%,34.8%,41.9%,51.6%,50.0%,50.6%,53.3%,50.0%,0.0%,6.7%,6.7%,28.6%,-53
2024 Australian Open R128,W vs Hijikata,35.0%,53.7%,47.7%,43.1%,45.8%,69.2%,56.9%,59.2%,48.9%,60.0%,87.5%,19.7%,31.8%,37.7%,7
2023 Basel R16,L vs Hurkacz,24.6%,32.3%,36.2%,33.1%,25.6%,38.5%,44.8%,39.7%,42.1%,50.0%,50.0%,25.0%,25.0%,22.2%,37
2023 Beijing R32,L vs Ruud,28.6%,45.2%,47.3%,34.3%,37.2%,51.2%,40.7%,48.4%,47.4%,58.3%,66.7%,22.2%,44.4%,53.6%,96
Career (63 matches),,34.0%,46.4%,50.3%,40.4%,46.2%,61.4%,55.4%,57.4%,48.2%,48.4%,49.4%,19.7%,29.7%,45.1%,74
