Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Dubai SF,W vs Rublev,80% (12/15),100% (1/1),2/2,1/1,100% (6/6),2/2,0/0,86% (6/7),29% (2/7)
2026 Dubai R16,W vs Bublik,92% (11/12),33% (1/3),2/3,1/2,100% (3/3),0/0,0/0,67% (4/6),60% (3/5)
2026 Rotterdam QF,L vs Auger Aliassime,62% (8/13),0% (0/1),0/0,0/0,67% (4/6),1/3,0/1,50% (2/4),0% (0/5)
2026 Montpellier R16,W vs Carreno Busta,77% (10/13),50% (2/4),2/5,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2026 United Cup RR,L vs Zverev,63% (5/8),0% (0/2),0/0,0/0,0% (0/4),0/2,0/1,- (0/0),- (0/0)
2026 United Cup RR,L vs Hurkacz,75% (9/12),- (0/0),0/0,0/0,0% (0/1),1/3,1/2,40% (2/5),33% (2/6)
2025 Stockholm R32,L vs Fearnley,74% (14/19),33% (1/3),1/2,0/0,57% (4/7),3/5,3/4,54% (7/13),46% (6/13)
2025 US Open R128,L vs Mannarino,50% (8/16),11% (1/9),0/0,0/0,63% (10/16),2/5,0/1,- (0/0),- (0/0)
2025 Bastad QF,L vs De Jong,57% (12/21),30% (3/10),1/1,0/0,50% (4/8),0/2,0/1,60% (3/5),0% (0/5)
2025 Bastad R16,W vs Pellegrino,72% (13/18),60% (3/5),2/2,1/1,57% (4/7),5/6,5/5,71% (5/7),43% (3/7)
2025 Mallorca F,W vs Moutet,75% (12/16),25% (1/4),2/3,1/1,100% (4/4),0/0,0/0,80% (4/5),60% (3/5)
2025 Roland Garros R32,W vs Quinn,65% (22/34),32% (6/19),3/6,1/2,71% (5/7),1/3,0/0,25% (1/4),20% (1/5)
2025 Roland Garros R64,W vs Diallo,56% (14/25),55% (6/11),3/5,1/1,54% (7/13),0/1,0/0,60% (3/5),80% (4/5)
2025 Rome R64,L vs Fils,57% (4/7),0% (0/1),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2025 Rome R128,W vs Kecmanovic,85% (11/13),71% (5/7),2/2,1/1,50% (2/4),1/2,0/0,- (0/0),- (0/0)
2025 Marrakech F,L vs Darderi,55% (11/20),25% (1/4),0/0,0/0,0% (0/1),1/3,1/2,64% (7/11),0% (0/10)
2025 Marrakech SF,W vs Majchrzak,69% (11/16),67% (2/3),2/3,1/1,80% (4/5),0/0,0/0,100% (5/5),40% (2/5)
2025 Marrakech QF,W vs Bellucci,67% (10/15),67% (2/3),2/4,1/1,100% (4/4),0/0,0/0,- (0/0),- (0/0)
2025 Indian Wells QF,L vs Rune,47% (7/15),75% (3/4),1/1,0/0,60% (9/15),1/3,0/1,- (0/0),- (0/0)
2025 Indian Wells R16,W vs Watanuki,59% (10/17),50% (2/4),2/2,1/1,100% (1/1),0/0,0/0,67% (4/6),60% (3/5)
2026 (6 matches),,75.3%,36.4%,60.0%,75.0%,65.0%,40.0%,25.0%,63.6%,30.4%
2025 (27 matches),,63.3%,42.0%,55.7%,51.6%,68.0%,52.1%,68.6%,72.5%,32.4%
2024 (29 matches),,69.9%,36.1%,54.3%,68.2%,60.0%,42.2%,36.4%,72.7%,33.8%
2023 (22 matches),,64.1%,34.4%,60.4%,66.7%,61.7%,56.6%,53.8%,65.3%,33.3%
2022 (15 matches),,65.4%,31.3%,74.1%,75.0%,58.7%,51.1%,52.6%,61.9%,40.0%
Career (165 matches),,64.9%,38.0%,55.6%,55.3%,61.5%,48.1%,47.4%,68.5%,35.5%
