Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai SF,W vs Rublev,51.4%,41.7%,8.6%,5/1,2.18,14.3%,40.4%,36.8%,10.6%,2.29,20.7%,81.0%,47.1%,4.8%,1.96,0.0%
2026 Dubai R16,W vs Bublik,60.9%,48.7%,1.6%,1/0,2.05,27.6%,50.0%,52.4%,2.4%,1.86,46.7%,90.0%,44.4%,0.0%,2.25,7.1%
2026 Rotterdam QF,L vs Auger Aliassime,58.7%,32.4%,9.5%,4/2,2.22,8.9%,43.2%,18.8%,10.8%,2.21,14.3%,91.3%,42.9%,8.7%,2.24,0.0%
2026 Montpellier R16,W vs Carreno Busta,62.9%,53.8%,0.0%,0/0,2.04,23.1%,61.5%,45.8%,0.0%,1.90,40.0%,71.4%,66.7%,0.0%,2.13,12.5%
2026 United Cup RR,L vs Hurkacz,41.8%,30.4%,1.8%,1/0,2.15,13.2%,29.3%,33.3%,0.0%,2.06,18.2%,78.6%,27.3%,7.1%,2.25,6.3%
2026 United Cup RR,L vs Zverev,43.8%,47.6%,4.2%,2/0,2.28,3.6%,36.1%,30.8%,0.0%,2.32,5.3%,66.7%,75.0%,16.7%,2.22,0.0%
2025 Stockholm R32,L vs Fearnley,65.3%,37.9%,5.0%,2/3,2.15,27.4%,58.6%,38.2%,1.7%,2.07,40.4%,84.2%,37.5%,10.5%,2.30,3.8%
2025 Shanghai R32,W vs Sinner,57.0%,40.0%,3.8%,2/1,2.07,14.8%,55.9%,45.5%,3.4%,2.11,23.7%,66.7%,25.0%,5.6%,2.00,0.0%
2025 US Open R128,L vs Mannarino,67.4%,36.2%,14.0%,5/7,2.31,0.0%,51.1%,20.8%,12.8%,2.08,0.0%,94.4%,47.1%,16.7%,2.57,0.0%
2025 Bastad QF,L vs De Jong,67.3%,47.0%,9.2%,5/4,2.16,10.4%,59.6%,38.7%,11.5%,2.20,20.0%,81.4%,54.3%,7.0%,2.13,0.0%
2025 Bastad R16,W vs Pellegrino,65.6%,52.5%,8.6%,5/3,2.28,8.3%,68.9%,54.8%,9.8%,2.18,13.5%,65.5%,47.4%,6.9%,2.45,0.0%
2025 Mallorca F,W vs Moutet,63.0%,45.7%,13.7%,3/7,1.96,53.7%,56.5%,46.2%,8.7%,1.76,79.4%,76.9%,45.0%,23.1%,2.19,10.0%
2025 Roland Garros R32,W vs Quinn,66.7%,50.0%,5.9%,6/3,2.27,28.4%,66.3%,52.2%,4.0%,2.19,40.0%,79.5%,45.7%,11.4%,2.44,3.8%
2025 Roland Garros R64,W vs Diallo,66.1%,51.3%,5.2%,4/2,2.20,15.6%,62.0%,50.0%,0.0%,2.11,25.0%,84.2%,53.1%,15.8%,2.33,3.0%
2025 Rome R64,L vs Fils,57.8%,38.5%,13.3%,5/1,2.07,11.1%,54.2%,46.2%,16.7%,2.33,14.3%,68.4%,30.8%,10.5%,1.71,6.7%
2025 Rome R128,W vs Kecmanovic,77.5%,52.7%,2.8%,0/2,1.83,26.2%,83.0%,48.7%,0.0%,1.82,38.5%,88.9%,62.5%,11.1%,1.84,6.3%
2025 Marrakech F,L vs Darderi,73.5%,36.1%,8.4%,5/2,1.92,18.0%,72.5%,37.8%,7.8%,2.02,24.1%,82.8%,33.3%,10.3%,1.78,9.5%
2025 Marrakech SF,W vs Majchrzak,71.8%,45.1%,11.3%,7/1,2.24,14.3%,69.0%,31.0%,9.5%,2.24,30.0%,78.6%,63.6%,14.3%,2.25,0.0%
2025 Marrakech QF,W vs Bellucci,61.0%,44.4%,6.8%,1/3,2.36,16.2%,62.9%,40.9%,5.7%,2.15,25.0%,87.5%,50.0%,12.5%,2.63,5.9%
2025 Indian Wells QF,L vs Rune,75.7%,42.9%,1.4%,1/0,2.50,8.7%,70.6%,33.3%,0.0%,2.45,14.6%,87.0%,60.0%,4.3%,2.57,0.0%
Career (117 matches),,63.6%,45.8%,5.4%,56.3%,2.24,17.0%,59.9%,42.1%,4.4%,2.18,25.3%,77.5%,51.2%,7.9%,2.33,4.9%
