Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2022 Andorra QF,L vs Bucsa,27.3%,42.0%,38.7%,34.5%,54.5%,55.6%,51.7%,38.5%,75.0%,16.1%,22.6%,15.4%,9.1%,75.0%,80.0%,-31
2022 US Open R128,W vs Williams,20.0%,40.0%,67.5%,29.4%,52.9%,70.8%,14.3%,55.0%,100.0%,5.9%,23.5%,62.5%,0.0%,41.7%,100.0%,-64
2022 Wimbledon R128,L vs Raducanu,17.1%,31.4%,47.2%,24.4%,41.5%,48.4%,50.0%,42.1%,33.3%,8.3%,20.8%,45.5%,0.0%,42.9%,66.7%,-39
2022 s Hertogenbosch QF,L vs Sabalenka,32.7%,39.6%,44.8%,39.2%,48.6%,55.6%,41.9%,41.9%,0.0%,15.4%,15.4%,22.7%,0.0%,64.7%,100.0%,-59
2021 Nur Sultan F,W vs Putintseva,15.0%,22.5%,40.3%,14.8%,22.2%,41.3%,70.8%,43.3%,50.0%,16.0%,24.0%,38.1%,7.1%,81.8%,100.0%,-57
2019 Linz R16,L vs Bertens,18.8%,27.5%,55.6%,28.8%,42.3%,54.1%,61.5%,46.2%,50.0%,0.0%,0.0%,57.7%,30.0%,31.3%,50.0%,-119
2019 Tashkent F,W vs Cirstea,22.1%,36.3%,53.5%,26.5%,44.1%,54.0%,55.2%,20.5%,42.9%,16.3%,25.6%,52.8%,23.8%,59.1%,50.0%,-50
2019 Wimbledon R64,L vs Barty,17.8%,24.4%,34.3%,19.4%,29.0%,36.0%,62.5%,53.3%,100.0%,16.7%,16.7%,30.0%,0.0%,83.3%,50.0%,46
2019 Budapest F,W vs Vondrousova,14.5%,25.3%,49.3%,17.0%,30.2%,52.3%,37.5%,37.9%,33.3%,11.5%,19.2%,43.5%,16.7%,7.1%,50.0%,-4
2019 Budapest SF,W vs Alexandrova,23.8%,32.4%,41.3%,27.8%,38.0%,45.6%,50.0%,41.9%,50.0%,11.5%,15.4%,30.4%,0.0%,75.0%,75.0%,-104
2019 Budapest R16,W vs Swiatek,23.8%,35.0%,50.0%,26.4%,41.5%,53.8%,50.0%,37.9%,50.0%,19.2%,23.1%,42.9%,7.1%,75.0%,100.0%,-59
2019 St Petersburg R16,L vs Sabalenka,17.5%,27.5%,44.8%,30.4%,34.8%,50.0%,60.0%,30.8%,100.0%,0.0%,23.1%,38.5%,0.0%,100.0%,100.0%,-119
2019 Australian Open R128,L vs Wozniacki,23.2%,33.3%,49.0%,33.3%,42.2%,50.0%,56.5%,31.8%,0.0%,4.5%,18.2%,47.6%,16.7%,68.8%,100.0%,-71
2018 Mallorca R32,W vs Sabalenka,32.2%,46.0%,47.3%,36.7%,51.7%,47.4%,66.7%,30.0%,33.3%,26.1%,39.1%,47.1%,50.0%,60.0%,0.0%,75
2018 Budapest F,W vs Cibulkova,32.0%,42.7%,48.5%,39.0%,51.9%,55.3%,36.1%,53.7%,66.7%,13.6%,18.2%,31.6%,27.3%,90.9%,100.0%,-3
2016 Australian Open R128,L vs Azarenka,20.9%,20.9%,15.2%,29.2%,29.2%,29.4%,46.2%,27.3%,33.3%,11.1%,11.1%,0.0%,0.0%,30.0%,0.0%,-40
2016 Hobart R16,L vs Bouchard,18.8%,21.2%,43.1%,23.8%,26.2%,37.5%,29.2%,44.4%,60.0%,15.4%,17.9%,48.5%,0.0%,68.2%,66.7%,8
2015 Luxembourg QF,W vs Strycova,16.1%,39.3%,60.9%,20.0%,54.3%,67.9%,53.3%,35.0%,-,10.0%,15.0%,50.0%,20.0%,80.0%,100.0%,-46
2015 US Open R128,L vs Pegula,28.2%,38.0%,47.9%,40.0%,60.0%,66.7%,31.3%,28.6%,0.0%,21.1%,23.7%,36.7%,0.0%,63.6%,80.0%,-16
2015 Roland Garros QF,L vs Bacsinszky,20.5%,34.6%,44.1%,28.6%,44.9%,45.7%,30.8%,21.7%,0.0%,7.7%,19.2%,41.7%,0.0%,35.7%,100.0%,-39
Career (26 matches),,23.0%,34.1%,46.8%,29.3%,42.9%,50.5%,47.6%,37.1%,45.9%,13.5%,21.0%,41.2%,8.3%,60.5%,71.0%,-10
