Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Beijing R64,W vs Samsonova,35.6%,40.7%,56.8%,42.2%,48.9%,69.2%,52.4%,41.7%,-,15.4%,15.4%,27.3%,0.0%,66.7%,100.0%,-18
2025 Seoul R16,L vs Alexandrova,15.8%,25.0%,52.6%,18.4%,30.6%,57.5%,34.8%,38.5%,50.0%,15.0%,20.0%,41.2%,0.0%,50.0%,25.0%,9
2025 Seoul R32,W vs Ku,25.6%,35.9%,59.3%,21.4%,35.7%,54.5%,54.5%,47.1%,50.0%,44.4%,44.4%,80.0%,0.0%,0.0%,-,115
2025 Hamburg F,W vs Bondar,17.7%,32.9%,54.5%,23.7%,44.7%,65.5%,58.8%,85.7%,100.0%,16.1%,29.0%,42.3%,33.3%,81.3%,100.0%,22
2025 Hamburg SF,W vs Yastremska,44.1%,47.1%,40.5%,40.0%,44.4%,40.7%,27.8%,44.4%,-,54.5%,54.5%,40.0%,22.2%,61.5%,-,-51
2025 Hamburg QF,W vs Tomova,26.1%,43.5%,58.1%,36.7%,60.0%,68.4%,64.3%,18.8%,33.3%,7.7%,15.4%,41.7%,100.0%,87.5%,100.0%,-47
2025 Roland Garros SF,L vs Gauff,13.6%,18.2%,29.7%,15.4%,19.2%,27.3%,50.0%,71.4%,66.7%,11.8%,17.6%,33.3%,22.2%,87.5%,100.0%,-37
2025 Roland Garros QF,W vs Andreeva,21.2%,32.9%,48.4%,27.6%,43.1%,47.6%,48.1%,54.8%,100.0%,8.3%,12.5%,50.0%,12.5%,31.3%,75.0%,-33
2025 Roland Garros R16,W vs Pegula,12.7%,20.6%,52.4%,19.0%,30.2%,56.9%,44.4%,55.6%,33.3%,3.1%,6.3%,45.2%,4.8%,72.7%,75.0%,-89
2025 Roland Garros R32,W vs Jacquemot,10.3%,28.2%,57.8%,12.0%,32.0%,61.4%,45.8%,50.0%,100.0%,9.1%,27.3%,50.0%,0.0%,90.9%,50.0%,-36
2025 Rouen R32,W vs Dart,21.1%,42.1%,59.1%,26.7%,51.1%,69.7%,31.6%,42.3%,50.0%,0.0%,9.1%,27.3%,0.0%,0.0%,-,-119
Last 52 Weeks (11 matches),,21.3%,32.5%,52.0%,25.6%,39.8%,56.6%,45.5%,50.0%,60.0%,15.9%,22.4%,42.8%,15.4%,61.8%,75.0%,34
Career (11 matches),,21.3%,32.5%,52.0%,25.6%,39.8%,56.6%,45.5%,50.0%,60.0%,15.9%,22.4%,42.8%,15.4%,61.8%,75.0%,34
