Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Beijing R64,W vs Samsonova,78.0%,48.7%,8.0%,3/1,2.48,0.0%,76.0%,47.4%,8.0%,2.54,0.0%,87.0%,50.0%,8.7%,2.35,0.0%
2025 Seoul R16,L vs Alexandrova,55.2%,37.5%,2.3%,2/0,2.26,3.6%,56.3%,25.9%,2.1%,2.26,5.1%,84.0%,52.4%,4.0%,2.26,0.0%
2025 Seoul R32,W vs Ku,87.9%,60.3%,1.5%,0/1,2.62,3.7%,93.0%,60.0%,2.3%,2.53,4.5%,94.7%,61.1%,0.0%,3.02,0.0%
2025 Hamburg F,W vs Bondar,81.4%,60.4%,1.7%,1/0,2.45,9.3%,79.3%,56.5%,0.0%,2.37,17.9%,92.6%,64.0%,3.7%,2.54,0.0%
2025 Hamburg SF,W vs Yastremska,81.0%,51.0%,11.1%,2/5,2.76,2.7%,85.0%,44.1%,15.0%,2.73,3.7%,85.0%,64.7%,5.0%,2.85,0.0%
2025 Hamburg QF,W vs Tomova,88.2%,53.3%,0.0%,0/0,2.38,25.8%,97.3%,55.6%,0.0%,2.59,42.1%,75.0%,44.4%,0.0%,2.03,0.0%
2025 Roland Garros SF,L vs Gauff,80.4%,37.8%,0.0%,0/0,2.32,0.0%,88.5%,43.5%,0.0%,2.50,0.0%,77.8%,28.6%,0.0%,2.05,0.0%
2025 Roland Garros QF,W vs Andreeva,79.8%,52.0%,4.3%,1/3,2.20,20.3%,87.7%,46.0%,3.5%,2.33,31.0%,89.3%,64.0%,7.1%,1.96,0.0%
2025 Roland Garros R16,W vs Pegula,85.2%,50.0%,4.6%,0/5,2.32,6.1%,82.5%,51.9%,3.2%,2.37,9.8%,90.9%,47.5%,6.8%,2.24,0.0%
2025 Roland Garros R32,W vs Jacquemot,74.0%,54.9%,2.1%,2/0,2.69,7.9%,73.8%,51.1%,0.0%,2.69,11.4%,81.3%,61.5%,6.3%,2.70,0.0%
2025 Rouen R32,W vs Dart,88.1%,51.4%,7.1%,3/0,2.13,18.6%,95.5%,52.4%,4.5%,2.17,25.0%,100.0%,50.0%,12.5%,2.01,0.0%
Last 52 Weeks (11 matches),,78.9%,51.2%,3.8%,48.3%,2.40,9.0%,82.0%,49.2%,3.3%,2.44,13.6%,87.5%,54.5%,5.3%,2.32,0.0%
Career (11 matches),,78.9%,51.2%,3.8%,48.3%,2.40,9.0%,82.0%,49.2%,3.3%,2.44,13.6%,87.5%,54.5%,5.3%,2.32,0.0%
