Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,14,2,12,14.3%,13-30,30.2%,185-233,44.3%,2-7,22.2%,14,73.5%,16.7%,7.2%,1.3%,65.0%,65.9%,47.1%,59.3%,33.6%,47.0%,0.83
Clay,1,0,1,0.0%,0-2,0.0%,12-14,46.2%,0-2,0.0%,1,83.3%,16.7%,5.6%,0.0%,68.5%,70.5%,60.7%,67.4%,36.7%,50.5%,1.13
Grass,3,1,2,33.3%,2-6,25.0%,33-45,42.3%,0-0,-,3,69.2%,15.4%,8.3%,1.7%,64.8%,68.5%,44.4%,60.0%,31.4%,46.0%,0.78
Grand Slams,6,2,4,33.3%,10-15,40.0%,111-126,46.8%,1-3,25.0%,6,75.4%,19.2%,6.9%,1.3%,63.6%,67.8%,46.5%,60.1%,35.4%,48.2%,0.89
Masters,4,0,4,0.0%,1-8,11.1%,35-52,40.2%,0-2,0.0%,4,64.3%,18.6%,5.6%,1.0%,64.7%,58.2%,50.5%,55.4%,32.7%,45.1%,0.73
Other Tours,8,1,7,12.5%,4-15,21.1%,84-114,42.4%,1-4,20.0%,8,74.7%,12.2%,8.4%,1.5%,67.2%,68.8%,47.0%,61.7%,31.7%,46.5%,0.83
Best of 5,6,2,4,33.3%,10-15,40.0%,111-126,46.8%,1-3,25.0%,6,75.4%,19.2%,6.9%,1.3%,63.6%,67.8%,46.5%,60.1%,35.4%,48.2%,0.89
Best of 3,12,1,11,8.3%,5-23,17.9%,119-166,41.8%,1-6,14.3%,12,71.5%,14.2%,7.5%,1.3%,66.4%,65.4%,48.2%,59.6%,32.0%,46.1%,0.79
vs Righties,17,3,14,17.6%,15-36,29.4%,218-278,44.0%,2-7,22.2%,17,72.8%,16.5%,7.3%,1.4%,64.9%,66.3%,46.7%,59.4%,33.3%,46.8%,0.82
vs Lefties,1,0,1,0.0%,0-2,0.0%,12-14,46.2%,0-2,0.0%,1,83.3%,16.7%,5.6%,0.0%,68.5%,70.5%,60.7%,67.4%,36.7%,50.5%,1.13
