Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),230,243,226,1537,209,1507,334,1354,155,1507,,,,
2025,112,553,215,1547,190,1522,334,1359,146,1512,,,,
2024,198,286,216,1543,197,1507,276,1411,,,,,,
2023,263,222,195,1548,176,1523,281,1390,172,1467,,,,
2022,217,255,236,1509,222,1471,,,168,1462,,,,
2021,829,21,,,,,,,,,,,,
2020,574,49,,,,,,,,,500,82,,
2019,499,58,396,1335,381,1310,,,,,534,70,,
2018,532,8,,,,,,,,,744,3,,
2017,904,14,,,,,,,,,684,62,,
2016,,,,,,,,,,,1439,8,,
2015,,,,,,,,,,,1099,24,,
