Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Chennai QF,L vs Tjen,21,29,0.7,18.9%,26.1%,13,23,0.6,13.5%,24.0%,8.3%,4.2%,1.1,9.9%,9.0%
2025 W75 Bratislava R16,W vs Charaeva,29,25,1.2,22.1%,19.1%,25,22,1.1,20.7%,18.2%,10.7%,9.9%,0.9,10.7%,12.2%
Career (2 matches),,50,54,0.9,20.7%,22.3%,38,45,0.8,17.5%,20.7%,9.7%,7.4%,1.0,10.3%,10.7%
