Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2000,321,93,,,,,,,,,1,4985,,
1999,130,362,85,1753,75,1704,87,1683,45,1684,11,2619,,
1998,58,773,52,1826,45,1775,69,1745,30,1744,6,3398,,
1997,46,866,46,1839,35,1813,50,1789,29,1750,2,4624,,
1996,27,1287,30,1899,21,1873,55,1785,38,1747,1,4923,,
1995,51,,26,1897,24,1863,50,1800,31,1768,2,3752,,
1994,43,,35,1889,28,1864,51,1783,39,1725,3,3626,,
1993,28,,46,1865,37,1821,93,1702,40,1726,8,2022,,
1992,40,,31,1905,30,1845,57,1772,35,1746,1,3085,,
1991,88,,82,1774,63,1750,109,1674,58,1677,11,1814,,
1990,101,,75,1786,54,1766,,,38,1718,118,452,,
1989,75,,76,1776,36,1795,79,1692,45,1700,6,,,
1988,42,,40,1854,22,1863,67,1723,29,1754,18,,,
1987,67,,85,1734,77,1682,127,1594,63,1656,53,,,
1986,181,,149,1602,138,1552,139,1528,81,1617,140,,,
1985,127,,,,,,,,,,141,,,
1984,385,,,,,,,,,,193,,,
