Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,15,Hard,41,26,15,63.4%,15,9,6,60.0%,1985,2000,SF,25,1.07,4.3%,4.1%,58.9%,71.0%,47.0%,61.1%,41.4%,55.9%,45.2%
Roland Garros,12,Clay,24,12,12,50.0%,16,8,8,50.0%,1986,1999,R16,14,1.01,5.0%,3.3%,58.3%,70.6%,46.6%,60.6%,39.9%,65.6%,39.2%
Wimbledon,15,Grass,33,18,15,54.5%,19,10,9,52.6%,1986,2000,R16,21,0.99,5.2%,4.9%,58.3%,76.5%,47.1%,64.3%,35.4%,61.8%,38.8%
US Open,13,Hard,26,13,13,50.0%,16,10,6,62.5%,1986,1999,R16,14,0.90,6.3%,4.1%,58.1%,70.4%,46.8%,60.5%,35.7%,58.1%,35.0%
Davis Cup,7,,14,4,10,28.6%,5,4,1,80.0%,1988,1998,,0,,,,,,,,,,
Adelaide,12,Hard,32,20,12,62.5%,10,4,6,40.0%,1985,2000,W,17,1.05,7.6%,4.1%,56.3%,71.1%,51.5%,62.6%,39.4%,65.9%,39.3%
Queen's Club,13,Grass,25,12,13,48.0%,8,5,3,62.5%,1986,1999,SF,18,1.05,6.3%,4.8%,59.4%,71.9%,51.5%,63.6%,38.2%,59.1%,41.3%
Cincinnati Masters,9,Hard,18,9,9,50.0%,8,5,3,62.5%,1991,1999,R16,18,1.04,7.7%,4.9%,56.3%,69.5%,49.4%,60.7%,40.8%,63.3%,46.2%
Los Angeles,8,Hard,18,10,8,55.6%,4,2,2,50.0%,1988,1999,F,14,1.04,7.2%,5.5%,57.2%,73.7%,49.2%,63.2%,38.3%,65.2%,35.1%
Memphis,8,Hard,14,6,8,42.9%,3,0,3,0.0%,1988,2000,QF,13,1.05,7.8%,5.1%,56.5%,76.4%,48.4%,64.2%,37.6%,71.4%,33.6%
Sydney Indoor,7,Hard,17,10,7,58.8%,7,3,4,42.9%,1986,1994,SF,12,1.06,5.7%,2.2%,57.9%,71.1%,50.5%,62.4%,39.7%,68.5%,46.8%
