Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2017 Wimbledon R128,L vs Haddad Maia,93.1,95.6,4.6,96.5,94.4,102,84,87.7,2.0,,88.0,91,84
2016 US Open R128,L vs Broady,92.8,97.7,6.0,,,109,83,85.1,5.5,,,96,73
2016 Wimbledon R128,L vs Kerber,93.7,97.4,4.6,97.6,98.8,108,90,86.8,3.9,,,93,80
2016 Roland Garros R128,L vs Petkovic,90.7,95.8,5.0,,,103,80,85.7,4.9,,,93,75
2015 US Open R128,L vs Vesnina,93.3,99.4,3.9,,,105,88,84.1,5.6,,,92,65
2015 Wimbledon R128,L vs Rodina,89.0,92.3,4.6,,,102,78,80.5,4.0,,,85,69
2014 Australian Open R128,L vs Flipkens,95.7,,,,,108,,,,,,,84
2013 US Open R32,L vs Li,93.8,,,,,110,,,,,,,75
2013 US Open R64,W vs Garcia,94.4,,,,,110,,,,,,,78
2013 US Open R128,W vs Dominguez Lino,93.7,,,,,108,,,,,,,71
2013 Wimbledon R16,L vs Kanepi,97.1,,,,,110,,,,,,,77
2013 Wimbledon R32,W vs Erakovic,95.7,,,,,110,,,,,,,76
2013 Wimbledon R64,W vs Duque Marino,96.8,,,,,110,,,,,,,83
2013 Wimbledon R128,W vs Kirilenko,96.0,,,,,111,,,,,,,79
2013 Roland Garros R128,L vs Wozniacki,96.1,,,,,108,,,,,,,78
2013 Australian Open R32,L vs Stephens,90.5,,,,,107,,,,,,,77
2013 Australian Open R64,W vs Kvitova,98.0,,,,,113,,,,,,,79
2013 Australian Open R128,W vs Oudin,96.8,,,,,112,,,,,,,77
2012 US Open R16,L vs Stosur,95.8,,,,,111,,,,,,,62
2012 US Open R32,W vs Li,96.7,,,,,114,,,,,,,75
Career (26 matches),,94.8,97.3,4.8,97.1,96.2,114,78,84.2,4.7,,88.0,96,62
