Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,3,1,2,33.3%,3-4,42.9%,28-36,43.8%,1-1,50.0%,0,,,,,,,,,,,,R16 (W25 Sunderland)
2018,17,9,8,52.9%,18-14,56.3%,164-146,52.9%,3-2,60.0%,0,,,,,,,,,,,,SF (Perth $25K)
2017,45,24,21,53.3%,56-48,53.8%,514-466,52.4%,7-5,58.3%,1,45.5%,36.4%,5.3%,6.6%,56.6%,51.2%,42.4%,47.4%,45.1%,46.2%,0.86,W (Kurume $60K)
2016,18,8,10,44.4%,20-23,46.5%,206-196,51.2%,2-3,40.0%,0,,,,,,,,,,,,W (Landisville PA $25K)
2015,5,1,4,20.0%,4-7,36.4%,46-57,44.7%,1-1,50.0%,0,,,,,,,,,,,,R16 (Granby $50K)
2012,9,4,5,44.4%,10-11,47.6%,102-106,49.0%,2-0,100.0%,0,,,,,,,,,,,,QF (Chiasso 25K)
2011,21,13,8,61.9%,27-19,58.7%,233-194,54.6%,2-2,50.0%,0,,,,,,,,,,,,F (Woking Foxhills 25K)
2010,15,9,6,60.0%,20-16,55.6%,164-145,53.1%,0-1,0.0%,0,,,,,,,,,,,,SF (Dothan AL 50K)
2009,7,2,5,28.6%,7-10,41.2%,74-81,47.7%,0-2,0.0%,0,,,,,,,,,,,,QF (Minsk 50K)
2008,12,9,3,75.0%,20-7,74.1%,146-115,55.9%,2-2,50.0%,0,,,,,,,,,,,,W (Sunderland 10K)
Career,152,80,72,52.6%,185-159,53.8%,1677-1542,52.1%,20-19,51.3%,1,45.5%,36.4%,5.3%,6.6%,56.6%,51.2%,42.4%,47.4%,45.1%,46.2%,0.86,
