Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2019-09-30),811,22,,,,,,,,,,,,
2018,397,83,,,,,,,,,396,144,,
2017,255,210,,,,,,,,,191,391,,
2016,187,292,149,1535,149,1473,146,1442,122,1501,135,504,,
2015,210,244,,,,,,,,,559,65,,
2014,621,31,,,,,,,,,537,63,,
2013,285,184,208,1416,198,1415,216,1279,160,1419,386,145,,
2012,239,238,201,1413,194,1405,204,1270,173,1385,164,456,,
2011,217,275,,,,,,,,,334,176,,
2010,610,40,,,,,,,,,576,57,,
2009,374,97,,,,,,,,,,,,
2008,541,31,,,,,,,,,,,,
2007,560,25,,,,,,,,,,,,
