Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Norman OK $25K R16,L vs Liu,1.01,0.82,49.0,2.1,0.0%,43.2%,0.0%,34.3%,52.0%,47.8%
2017 Norman OK $25K R32,W vs Xu,1.17,1.68,39.4,2.4,3.6%,64.3%,0.0%,59.3%,63.0%,46.2%
2017 Toronto $60K R32,L vs Zhao,0.99,0.79,54.9,3.2,8.3%,41.7%,0.0%,44.4%,50.0%,40.7%
2017 Saguenay $60K R32,L vs Robillard Millette,0.86,0.72,53.3,2.4,0.0%,50.0%,0.0%,59.3%,45.7%,30.3%
2017 Florence SC $25K R32,L vs Bektas,0.91,0.89,70.5,118.5,1.9%,40.7%,1.9%,61.5%,50.0%,46.2%
2017 Stillwater OK $25K R16,L vs Bouzkova,0.94,0.71,53.2,2.9,0.0%,66.7%,0.0%,47.2%,38.7%,25.0%
2017 Stillwater OK $25K R32,W vs Lee,1.00,1.33,47.3,4.3,0.0%,64.1%,0.0%,59.4%,40.9%,60.5%
2017 Lubbock TX $25K QF,L vs Dart,0.90,0.62,42.0,2.0,0.0%,32.0%,0.0%,60.9%,37.5%,36.7%
2017 Lubbock TX $25K R16,W vs Federici,1.05,2.10,37.2,2.0,4.3%,82.6%,4.5%,59.1%,52.0%,64.0%
2017 Las Vegas NV $60K R16,L vs Kostova,0.87,0.42,32.3,2.1,3.1%,53.1%,0.0%,41.9%,28.6%,21.1%
2017 Las Vegas NV $60K R32,W vs Zlochova,1.09,1.39,51.2,5.0,0.0%,64.9%,0.0%,58.8%,40.6%,56.7%
2017 Tsukuba $25K R16,L vs Sema,0.95,0.78,58.3,2.3,0.0%,43.2%,2.9%,57.1%,37.2%,45.0%
2017 Tsukuba $25K R32,W vs Rinaldo Persson,1.29,1.22,66.5,4.2,4.7%,51.2%,0.0%,50.0%,52.5%,40.0%
2017 Nonthaburi $25K R16,L vs Okamura,0.92,0.69,50.0,2.1,0.0%,43.8%,3.4%,48.3%,39.3%,42.3%
2017 Nonthaburi $25K R32,W vs Palha,1.11,1.96,36.9,2.0,7.7%,73.1%,4.0%,68.0%,52.0%,52.0%
2017 Hua Hin $25K R16,L vs Bains,0.93,0.71,48.1,2.4,0.0%,40.0%,0.0%,59.0%,36.7%,40.7%
2017 Hua Hin $25K R32,W vs Inoue,1.07,1.38,53.3,2.1,0.0%,51.4%,0.0%,77.1%,53.3%,39.3%
2017 Hua Hin $15K F,L vs Haet,1.10,0.89,81.9,7.6,0.0%,46.7%,1.9%,51.9%,40.7%,42.3%
2017 Hua Hin $15K SF,W vs Cheong,1.14,1.23,74.6,3.1,0.0%,61.0%,0.0%,54.1%,52.8%,37.5%
2017 Auburn AL $25K R16,L vs Lahey,0.89,0.88,63.6,2.5,2.3%,51.2%,0.0%,66.7%,33.9%,48.3%
2017 (51 matches),,1.03,1.04,54.9,2.7,1.5%,52.7%,0.9%,57.0%,46.7%,44.7%
2016 (26 matches),,0.98,0.93,55.7,2.7,1.7%,52.8%,0.9%,55.5%,42.4%,44.5%
2015 (15 matches),,1.03,0.90,59.7,2.6,1.4%,51.8%,1.7%,55.5%,38.9%,42.2%
2014 (18 matches),,1.00,1.00,49.0,2.6,1.9%,52.1%,1.2%,51.9%,46.0%,50.6%
2013 (22 matches),,1.01,1.06,53.8,2.4,1.4%,53.4%,2.4%,56.8%,43.7%,50.9%
Career (138 matches),,1.01,1.01,54.4,2.6,1.5%,52.8%,1.2%,55.7%,44.6%,46.5%
