Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,130,73,57,56.2%,150-116,56.4%,1237-1081,53.4%,12-10,54.5%,0,,,,,,,,,,,
Clay,327,234,93,71.6%,457-218,67.7%,3395-2488,57.7%,36-23,61.0%,0,,,,,,,,,,,
Grass,78,43,35,55.1%,88-77,53.3%,792-747,51.5%,9-6,60.0%,0,,,,,,,,,,,
Carpet,218,118,100,54.1%,247-205,54.6%,2078-1925,51.9%,19-14,57.6%,0,,,,,,,,,,,
Grand Slams,112,73,39,65.2%,148-93,61.4%,1185-975,54.9%,11-3,78.6%,0,,,,,,,,,,,
Premiers,3,2,1,66.7%,4-2,66.7%,31-22,58.5%,0-0,-,0,,,,,,,,,,,
Finals,39,20,19,51.3%,44-40,52.4%,384-363,51.4%,2-3,40.0%,0,,,,,,,,,,,
Semi-finals,66,37,29,56.1%,78-56,58.2%,619-534,53.7%,4-8,33.3%,0,,,,,,,,,,,
Quarter-finals,136,62,74,45.6%,133-156,46.0%,1237-1314,48.5%,12-9,57.1%,0,,,,,,,,,,,
vs Righties,458,260,198,56.8%,529-426,55.4%,4414-4025,52.3%,46-38,54.8%,0,,,,,,,,,,,
vs Lefties,69,39,30,56.5%,79-61,56.4%,660-599,52.4%,7-3,70.0%,0,,,,,,,,,,,
vs Top 10,10,2,8,20.0%,5-16,23.8%,66-108,37.9%,0-0,-,0,,,,,,,,,,,
