Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1987,12,5,7,41.7%,12-14,46.2%,120-124,49.2%,1-1,50.0%,0,,,,,,,,,,,,QF (Strasbourg)
1986,2,0,2,0.0%,1-4,20.0%,13-28,31.7%,0-0,-,0,,,,,,,,,,,,R32 (Oklahoma)
1985,46,27,19,58.7%,54-42,56.3%,447-386,53.7%,4-1,80.0%,0,,,,,,,,,,,,W (Bregenz)
1984,44,21,23,47.7%,49-43,53.3%,410-376,52.2%,3-7,30.0%,0,,,,,,,,,,,,SF (Marco Island)
1983,48,30,18,62.5%,58-36,61.7%,451-358,55.7%,6-6,50.0%,0,,,,,,,,,,,,W (Detroit)
1982,70,49,21,70.0%,97-43,69.3%,708-506,58.3%,11-6,64.7%,0,,,,,,,,,,,,W (4x)
1981,97,64,33,66.0%,124-73,62.9%,944-752,55.7%,10-6,62.5%,0,,,,,,,,,,,,W (2x)
1980,102,76,26,74.5%,150-61,71.1%,1079-755,58.8%,10-7,58.8%,0,,,,,,,,,,,,W (4x)
1979,78,52,26,66.7%,108-62,63.5%,865-705,55.1%,6-5,54.5%,0,,,,,,,,,,,,F (2x)
1978,90,62,28,68.9%,115-61,65.3%,908-707,56.2%,14-6,70.0%,0,,,,,,,,,,,,W (4x)
1977,47,25,22,53.2%,53-52,50.5%,464-457,50.4%,1-1,50.0%,0,,,,,,,,,,,,W (Oldsmar)
1976,66,40,26,60.6%,83-61,57.6%,692-593,53.9%,8-5,61.5%,0,,,,,,,,,,,,F (2x)
1975,15,7,8,46.7%,15-17,46.9%,132-143,48.0%,1-0,100.0%,0,,,,,,,,,,,,W (South Orange)
1974,41,20,21,48.8%,41-37,52.6%,353-328,51.8%,3-5,37.5%,0,,,,,,,,,,,,W (2x)
1973,17,7,10,41.2%,15-18,45.5%,145-160,47.5%,0-1,0.0%,0,,,,,,,,,,,,QF (3x)
1972,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,F (Cluj)
Career,776,485,291,62.5%,975-626,60.9%,7737-6390,54.8%,78-57,57.8%,0,,,,,,,,,,,,
