Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Davis Cup Qualifiers RR,L vs Haase,16.7%,24.1%,52.4%,23.9%,21.9%,31.3%,44.0%,34.1%,57.9%,46.2%,-,10.5%,15.8%,64.7%,-18
2018 Moscow R16,L vs Khachanov,29.9%,35.1%,45.1%,33.4%,35.4%,41.7%,38.7%,41.0%,27.3%,23.1%,0.0%,23.1%,26.9%,55.0%,78
2016 Australian Open R32,L vs Wawrinka,25.3%,38.9%,45.9%,30.9%,42.6%,55.3%,48.1%,54.0%,42.3%,38.1%,100.0%,10.5%,28.9%,44.1%,-18
2016 Auckland QF,L vs Ferrer,31.5%,40.7%,44.4%,37.4%,48.4%,61.3%,56.3%,58.7%,82.4%,50.0%,-,9.1%,13.6%,35.0%,-22
2015 Vienna QF,L vs Monfils,23.4%,43.6%,56.7%,35.5%,26.9%,53.7%,59.2%,43.9%,62.1%,57.9%,0.0%,18.2%,22.7%,50.0%,51
2015 Vienna R16,W vs Tsonga,33.8%,48.5%,58.5%,44.1%,38.1%,57.1%,65.4%,54.8%,62.5%,65.4%,100.0%,31.8%,40.9%,46.7%,154
2015 Geneva R16,L vs Wawrinka,30.1%,48.2%,50.0%,39.4%,38.0%,64.0%,54.8%,53.4%,77.3%,42.9%,50.0%,19.4%,25.8%,44.0%,-32
2015 Munich QF,L vs Murray,18.8%,29.7%,46.2%,26.7%,22.1%,36.8%,50.9%,33.8%,62.9%,51.5%,33.3%,13.8%,17.2%,36.0%,19
2015 Bucharest QF,L vs Garcia Lopez,14.8%,34.6%,55.4%,26.5%,15.4%,40.4%,59.1%,33.7%,34.8%,37.9%,-,16.0%,28.0%,47.6%,34
2014 Stuttgart R32,W vs Zverev,31.4%,45.3%,55.2%,38.1%,46.3%,61.1%,62.1%,57.0%,70.0%,41.2%,-,6.5%,19.4%,48.3%,-49
2014 Wimbledon R64,L vs Nadal,35.0%,52.8%,51.3%,40.9%,51.4%,67.1%,52.9%,61.9%,52.9%,38.9%,50.0%,13.7%,35.3%,50.0%,-22
2014 Bucharest F,L vs Dimitrov,21.5%,35.4%,39.3%,29.7%,31.3%,45.8%,42.4%,44.8%,60.0%,57.1%,100.0%,6.7%,20.0%,35.7%,-79
2013 Doha R32,L vs Nadal,17.9%,32.1%,46.3%,23.9%,19.1%,38.3%,44.7%,30.0%,42.9%,34.6%,33.3%,17.1%,25.7%,48.3%,3
2013 Paris R32,L vs Ferrer,19.0%,27.0%,41.7%,24.1%,22.9%,34.3%,40.7%,32.0%,41.2%,27.8%,25.0%,16.0%,20.0%,42.9%,39
2013 Miami R64,L vs Djokovic,17.4%,30.4%,35.5%,23.0%,31.6%,52.6%,38.5%,45.3%,57.1%,33.3%,66.7%,10.0%,20.0%,33.3%,-37
2012 Wimbledon R64,W vs Nadal,38.0%,56.9%,61.0%,48.7%,47.8%,70.7%,66.7%,63.8%,58.5%,51.0%,50.0%,19.0%,31.0%,52.9%,22
Career (16 matches),,26.3%,40.7%,49.8%,34.1%,34.7%,52.4%,52.7%,47.6%,55.6%,44.8%,48.4%,15.0%,25.4%,46.0%,31
