Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,1365,16,,
2023,885,20,,,,,,,,,,,,
2022,216,256,225,1520,188,1512,236,1452,135,1512,,,,
2021,273,212,243,1493,204,1484,214,1469,169,1484,,,,
2020,199,327,127,1609,136,1557,115,1579,,,,,,
2019,180,285,151,1614,147,1567,123,1579,109,1582,846,33,,
2018,142,383,127,1646,127,1598,98,1627,,,238,230,,
2017,203,254,141,1619,138,1580,115,1598,116,1541,337,169,,
2016,113,525,98,1692,96,1650,80,1678,127,1524,129,605,91,1596
2015,55,797,56,1781,59,1724,50,1742,85,1602,91,855,84,1610
2014,31,1210,49,1799,60,1723,41,1776,63,1636,39,1815,42,1728
2013,47,956,80,1732,77,1681,74,1694,81,1617,72,1063,120,1507
2012,73,679,65,1759,64,1703,66,1714,70,1641,128,555,115,1517
2011,70,693,117,1665,118,1606,94,1653,200,1430,165,448,,
2010,164,328,175,1564,178,1503,148,1548,214,1393,189,375,,
2009,148,346,240,1498,206,1481,213,1482,234,1383,181,366,,
2008,182,227,226,1508,225,1449,171,1535,207,1404,216,275,,
2007,271,141,283,1441,258,1420,292,1371,212,1398,128,422,,
2006,288,134,,,,,,,,,298,182,,
2005,616,31,,,,,,,,,457,89,,
2004,,,,,,,,,,,1760,1,,
2003,1344,2,,,,,,,,,1319,7,,
2002,1331,1,,,,,,,,,1536,1,,
