Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,41,16,25,39.0%,38-56,40.4%,412-460,47.2%,4-5,44.4%,38,59.6%,36.0%,2.2%,4.5%,61.8%,60.5%,43.3%,53.9%,43.8%,49.0%,0.95
Clay,17,6,11,35.3%,16-22,42.1%,155-190,44.9%,3-1,75.0%,17,51.5%,37.0%,1.6%,3.6%,62.2%,53.9%,45.0%,50.5%,44.8%,47.7%,0.91
Grass,8,4,4,50.0%,8-9,47.1%,72-85,45.9%,3-0,100.0%,8,58.4%,31.2%,5.2%,3.8%,59.4%,60.5%,43.7%,53.6%,41.7%,47.8%,0.90
Grand Slams,5,0,5,0.0%,1-10,9.1%,32-66,32.7%,0-0,-,5,46.8%,17.6%,2.5%,5.7%,59.7%,55.3%,39.8%,49.1%,35.4%,42.1%,0.69
Premiers,5,3,2,60.0%,5-6,45.5%,50-50,50.0%,1-1,50.0%,5,62.0%,37.5%,2.4%,3.8%,61.4%,56.2%,49.3%,53.5%,44.5%,49.4%,0.96
Internationals,44,17,27,38.6%,41-57,41.8%,418-488,46.1%,8-3,72.7%,44,56.1%,36.4%,2.5%,4.5%,60.7%,58.4%,43.3%,52.5%,44.2%,48.4%,0.93
Semi-finals,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,12.5%,28.6%,0.0%,2.2%,51.1%,39.1%,31.8%,35.6%,36.1%,35.8%,0.56
Quarter-finals,4,1,3,25.0%,3-7,30.0%,39-49,44.3%,0-0,-,4,61.4%,27.3%,4.1%,3.5%,56.5%,59.8%,48.6%,54.9%,40.1%,47.7%,0.89
vs Righties,58,21,37,36.2%,52-79,39.7%,551-651,45.8%,8-5,61.5%,55,56.6%,35.2%,2.3%,4.2%,61.5%,58.5%,43.3%,52.6%,43.6%,48.2%,0.92
vs Lefties,5,3,2,60.0%,6-5,54.5%,52-53,49.5%,1-1,50.0%,5,57.7%,39.2%,3.3%,4.5%,63.2%,58.1%,47.7%,54.3%,45.6%,50.1%,1.00
vs Top 10,2,0,2,0.0%,0-4,0.0%,15-25,37.5%,0-1,0.0%,2,50.0%,26.3%,0.7%,2.7%,70.5%,48.5%,53.5%,50.0%,39.3%,45.1%,0.79
