Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,5,1,4,20.0%,1,0,1,0.0%,2017,2020,R128,4,0.89,5.3%,6.7%,56.9%,68.9%,41.1%,56.9%,38.4%,31.3%,37.5%
Roland Garros,6,Clay,10,3,7,30.0%,2,1,1,50.0%,2017,2024,R128,6,0.86,1.2%,3.3%,60.4%,57.9%,38.8%,50.3%,42.6%,48.4%,46.7%
Wimbledon,5,Grass,6,1,5,16.7%,2,0,2,0.0%,2017,2024,R128,3,0.78,4.3%,3.4%,57.5%,62.2%,44.3%,54.6%,35.4%,52.0%,40.0%
US Open,6,Hard,6,0,6,0.0%,1,0,1,0.0%,2016,2024,R128,4,0.73,2.1%,3.5%,63.4%,49.5%,46.7%,48.4%,37.4%,55.3%,40.0%
Fed Cup,3,,11,6,5,54.5%,3,1,2,33.3%,2014,2019,,8,1.12,1.7%,2.3%,66.4%,64.0%,46.3%,58.0%,46.9%,62.2%,47.4%
Ljubljana 125,2,Clay,3,1,2,33.3%,2,1,1,50.0%,2023,2025,R16,3,0.90,1.5%,3.3%,71.4%,56.3%,45.5%,53.2%,42.0%,38.5%,36.4%
Bogota,6,Clay,12,6,6,50.0%,2,1,1,50.0%,2017,2025,SF,12,0.96,2.2%,5.1%,63.9%,57.7%,44.0%,52.8%,45.1%,58.8%,45.7%
Contrexeville 125,2,Clay,5,4,1,80.0%,2,2,0,100.0%,2023,2024,QF,3,1.03,0.0%,3.3%,71.6%,52.3%,42.0%,49.4%,52.3%,40.6%,50.0%
s Hertogenbosch,2,Grass,2,0,2,0.0%,1,0,1,0.0%,2023,2024,Q1,2,0.92,2.6%,4.6%,61.8%,58.5%,39.7%,51.3%,44.8%,52.4%,53.3%
Hong Kong,3,Hard,6,3,3,50.0%,2,0,2,0.0%,2016,2023,R32,6,1.11,1.5%,3.7%,60.5%,65.3%,45.7%,57.6%,47.1%,57.1%,51.8%
Bari 125,2,Clay,2,0,2,0.0%,0,0,0,-,2022,2023,R32,2,0.72,0.0%,4.1%,74.0%,50.0%,31.6%,45.2%,39.5%,27.3%,25.0%
