Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells QF,W vs Fils,47.1%,52.9%,46.2%,50.4%,58.3%,61.1%,40.0%,63.1%,50.0%,55.6%,100.0%,21.4%,35.7%,54.5%,22
2026 Indian Wells R32,W vs Nakashima,44.6%,56.4%,51.9%,51.7%,53.2%,68.8%,58.3%,62.6%,56.8%,42.5%,50.0%,18.2%,18.2%,38.9%,47
2026 Indian Wells R64,W vs Berrettini,30.4%,43.5%,83.9%,46.1%,31.4%,48.6%,83.3%,52.0%,33.3%,45.0%,-,30.0%,30.0%,85.7%,59
2026 Australian Open SF,L vs Alcaraz,33.3%,41.5%,50.7%,38.2%,39.6%,49.0%,52.2%,46.3%,47.1%,49.4%,28.6%,18.5%,24.1%,47.7%,25
2026 Australian Open QF,W vs Tien,36.8%,56.4%,57.8%,46.5%,43.8%,65.6%,57.4%,57.2%,44.7%,53.4%,66.7%,19.4%,33.3%,58.6%,-38
2026 United Cup RR,L vs Hurkacz,43.5%,54.3%,42.3%,50.4%,45.0%,55.0%,31.8%,53.0%,61.9%,57.9%,0.0%,33.3%,50.0%,100.0%,-79
2026 United Cup RR,W vs Griekspoor,56.3%,66.7%,52.4%,62.9%,63.9%,75.0%,69.2%,72.8%,47.1%,36.8%,0.0%,33.3%,41.7%,25.0%,-79
2025 Tour Finals RR,L vs Auger Aliassime,28.2%,37.2%,53.7%,32.8%,31.7%,41.7%,58.5%,37.7%,50.0%,50.0%,60.0%,18.8%,25.0%,38.5%,65
2025 Tour Finals RR,L vs Sinner,32.7%,50.0%,48.6%,43.7%,37.2%,58.1%,55.6%,50.5%,52.4%,63.6%,66.7%,11.1%,11.1%,25.0%,-79
2025 Tour Finals RR,W vs Shelton,48.1%,61.1%,64.3%,57.0%,52.3%,65.9%,66.7%,63.2%,41.2%,59.3%,-,30.0%,40.0%,57.1%,-79
2025 Paris SF,L vs Sinner,14.3%,26.5%,28.6%,20.4%,21.2%,39.4%,34.6%,30.3%,64.7%,50.0%,50.0%,0.0%,0.0%,18.8%,-118
2025 Vienna F,L vs Sinner,30.4%,42.2%,52.2%,39.4%,37.7%,50.6%,54.2%,49.6%,52.5%,35.1%,33.3%,9.5%,19.0%,47.4%,-30
2025 Beijing QF,L vs Medvedev,22.8%,40.4%,45.5%,33.9%,25.0%,45.5%,51.5%,39.3%,45.5%,45.5%,50.0%,15.4%,23.1%,27.3%,-79
2025 Cincinnati SF,L vs Alcaraz,23.0%,34.4%,39.1%,30.0%,21.7%,32.6%,41.7%,31.1%,52.6%,48.1%,25.0%,28.6%,42.9%,30.0%,22
2025 Canada SF,L vs Khachanov,30.4%,40.2%,53.1%,36.7%,41.7%,52.8%,52.4%,50.6%,44.8%,41.9%,33.3%,4.3%,13.0%,54.5%,-81
2025 Wimbledon R128,L vs Rinderknech,37.6%,49.7%,55.8%,45.3%,42.4%,56.9%,59.0%,52.6%,36.2%,34.9%,20.0%,25.0%,30.0%,46.7%,89
2025 Halle SF,L vs Medvedev,25.9%,39.3%,57.3%,34.9%,31.8%,47.1%,62.1%,43.6%,38.5%,43.5%,40.0%,7.7%,15.4%,45.8%,-37
2025 Stuttgart F,L vs Fritz,40.6%,53.1%,41.7%,46.3%,51.1%,64.4%,45.5%,59.1%,61.9%,37.5%,33.3%,17.6%,29.4%,35.7%,56
2025 Roland Garros QF,L vs Djokovic,23.3%,35.9%,53.8%,33.8%,27.4%,43.8%,66.0%,42.2%,44.4%,37.8%,25.0%,13.8%,17.2%,28.0%,-29
2025 Rome QF,L vs Musetti,17.8%,27.4%,48.3%,23.4%,23.5%,37.3%,46.2%,31.6%,52.0%,26.9%,0.0%,5.0%,5.0%,52.6%,-68
Career (328 matches),,31.5%,42.3%,53.5%,38.3%,39.5%,52.5%,56.5%,49.6%,49.2%,42.0%,36.3%,17.3%,24.6%,48.0%,45
