Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2009 Australian Open R16,W vs Kleybanova,20.0%,28.2%,56.6%,25.4%,37.3%,62.0%,61.8%,33.3%,0.0%,16.1%,19.4%,46.2%,12.5%,46.7%,100.0%,18
2003 Zurich F,L vs Henin,24.4%,29.3%,43.5%,27.3%,27.3%,43.8%,53.8%,44.4%,50.0%,36.4%,54.5%,42.9%,75.0%,0.0%,0.0%,123
2002 WTA Tour Championships R16,W vs Myskina,28.6%,38.6%,55.6%,31.1%,46.7%,58.1%,56.5%,36.4%,25.0%,30.0%,30.0%,50.0%,0.0%,53.8%,100.0%,137
2002 Roland Garros QF,L vs Capriati,15.1%,21.5%,47.7%,21.8%,32.7%,48.8%,37.5%,61.3%,60.0%,8.3%,8.3%,45.5%,21.4%,80.0%,100.0%,-58
2001 WTA Tour Championships R16,W vs Shaughnessy,23.0%,41.0%,56.1%,24.4%,51.2%,64.5%,17.6%,37.5%,50.0%,28.6%,28.6%,30.0%,28.6%,57.1%,-,123
2001 Zurich F,L vs Davenport,12.5%,26.6%,41.2%,17.5%,37.5%,48.5%,40.9%,50.0%,60.0%,5.3%,10.5%,27.8%,0.0%,45.5%,50.0%,-71
2001 Moscow F,W vs Dementieva,7.7%,21.2%,47.1%,0.0%,21.1%,57.9%,50.0%,55.6%,50.0%,21.1%,36.8%,33.3%,0.0%,91.7%,100.0%,11
2001 Rome F,W vs Mauresmo,23.0%,29.5%,63.0%,26.5%,32.7%,66.7%,27.8%,41.9%,-,9.1%,18.2%,50.0%,0.0%,100.0%,100.0%,-23
2001 Hamburg SF,L vs Williams,23.6%,25.5%,25.6%,20.0%,23.3%,25.0%,18.8%,14.3%,0.0%,31.8%,31.8%,26.7%,9.1%,90.9%,100.0%,41
2000 Wimbledon SF,L vs Davenport,17.0%,23.4%,27.0%,19.2%,30.8%,33.3%,29.4%,55.6%,100.0%,15.8%,15.8%,18.8%,16.7%,0.0%,0.0%,11
Career (10 matches),,19.4%,28.4%,47.7%,22.8%,35.8%,53.0%,41.2%,42.5%,36.7%,19.5%,23.7%,37.3%,14.0%,54.8%,68.4%,54
