Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2025-12-15),1425,4,,,,,,,,,,,,
2024,854,23,,,,,,,,,,,,
2023,798,27,,,,,,,,,,,,
2022,231,239,280,1463,251,1442,250,1442,214,1405,,,,
2021,138,506,208,1547,214,1465,166,1534,176,1476,,,,
2020,138,472,172,1549,177,1492,135,1550,,,795,40,,
2019,155,334,250,1494,246,1448,191,1493,220,1399,725,44,,
2018,174,300,191,1541,186,1504,185,1495,191,1437,261,189,,
2017,158,347,254,1473,242,1438,238,1423,183,1438,326,175,,
2016,238,217,306,1391,275,1376,301,1327,,,832,47,,
2015,240,216,340,1350,293,1356,342,1277,,,824,48,,
2014,385,109,,,,,,,,,,,,
2013,703,31,,,,,,,,,,,,
