Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Barletta CH F,L vs Mager,0.0%,-,11.7%,66.7%,11.0%,15.9%,0.0%,10.1%,50.0%,2.1%,37.5%,21,0
2019 Barletta CH R32,W vs Maamoun,0.0%,-,6.8%,84.6%,9.4%,7.0%,14.3%,8.0%,30.0%,1.8%,50.0%,-43,-30
2017 Samarkand CH R16,W vs Maamoun,0.0%,-,6.5%,62.5%,12.6%,14.5%,25.0%,3.0%,17.4%,0.8%,50.0%,-44,-23
2016 Karshi CH R32,W vs Tsoy,0.0%,-,8.7%,100.0%,12.5%,10.5%,9.1%,16.7%,21.4%,0.6%,100.0%,10,45
Career (4 matches),,0.0%,-,8.2%,74.1%,11.2%,12.0%,10.0%,7.4%,31.3%,1.4%,47.6%,-22,-12
