Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2006,25,10,15,40.0%,26-35,42.6%,254-289,46.8%,0-2,0.0%,13,-,-,4.2%,4.6%,52.9%,62.7%,43.4%,53.6%,39.9%,46.9%,0.86,SF (Bogota)
2005,29,9,20,31.0%,23-46,33.3%,287-357,44.6%,1-4,20.0%,6,-,-,3.7%,5.5%,51.2%,59.0%,41.9%,50.7%,38.7%,44.7%,0.79,QF (Budapest)
2004,50,23,27,46.0%,54-68,44.3%,540-595,47.6%,3-5,37.5%,4,-,-,4.0%,9.2%,44.6%,63.7%,39.9%,50.5%,40.4%,45.6%,0.82,F (Bogota)
2003,39,20,19,51.3%,46-46,50.0%,448-423,51.4%,2-4,33.3%,7,-,-,4.0%,6.8%,48.0%,72.0%,47.9%,59.4%,44.0%,51.4%,1.08,F (Madrid)
2002,10,4,6,40.0%,11-13,45.8%,115-125,47.9%,3-0,100.0%,0,,,,,,,,,,,,QF (Gold Coast)
2001,13,4,9,30.8%,9-20,31.0%,104-147,41.4%,1-2,33.3%,0,,,,,,,,,,,,R16 (4x)
2000,24,9,15,37.5%,19-30,38.8%,217-250,46.5%,2-2,50.0%,0,,,,,,,,,,,,SF (Bol)
1999,40,19,21,47.5%,40-43,48.2%,367-378,49.3%,6-5,54.5%,0,,,,,,,,,,,,W (Knokke-Heist)
1998,31,10,21,32.3%,22-43,33.8%,256-326,44.0%,2-4,33.3%,0,,,,,,,,,,,,QF (Budapest)
1997,20,10,10,50.0%,20-24,45.5%,189-196,49.1%,1-0,100.0%,0,,,,,,,,,,,,SF (2x)
1996,15,4,11,26.7%,13-22,37.1%,147-177,45.4%,1-0,100.0%,0,,,,,,,,,,,,R16 (Madrid)
1995,10,4,6,40.0%,7-12,36.8%,62-94,39.7%,2-2,50.0%,0,,,,,,,,,,,,R16 (3x)
1994,7,3,4,42.9%,8-11,42.1%,88-98,47.3%,0-1,0.0%,0,,,,,,,,,,,,QF (Styria)
Career,313,129,184,41.2%,298-413,41.9%,3074-3455,47.1%,24-31,43.6%,30,-,-,4.0%,5.9%,50.2%,64.2%,43.7%,54.0%,40.8%,47.4%,0.89,
