Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2006,141,200,92,1697,88,1635,71,1648,84,1565,,,,
2005,83,418,98,1682,108,1606,89,1636,82,1575,,,,
2004,51,649,70,1764,90,1655,55,1714,52,1651,,,,
2003,42,770,73,1759,81,1666,67,1693,63,1622,,,,
2002,111,317,155,1570,134,1538,149,1514,110,1524,,,,
2001,214,123,,,,,,,,,,,,
2000,97,343,85,1711,88,1631,65,1687,103,1537,,,,
1999,41,707,59,1804,59,1712,48,1764,57,1636,,,,
1998,72,371,52,1811,82,1636,34,1793,72,1597,,,,
1997,53,486,85,1698,94,1599,61,1686,80,1566,,,,
1996,117,195,154,1543,124,1533,144,1501,110,1484,,,,
1995,125,13,137,1575,119,1544,120,1547,,,,,,
1994,131,11,,,,,,,,,,,,
1993,398,1,,,,,,,,,,,,
