Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
9,Richard Gasquet [FRA],3,6,33.3%,4,0,4,0.0%,2004,2018,8,1.07,8.8%,2.2%,58.2%,75.1%,55.4%,66.9%,35.6%,47.8%,34.8%
9,Juan Monaco [ARG],6,3,66.7%,4,3,1,75.0%,2004,2015,8,1.06,4.5%,2.6%,60.7%,67.1%,50.0%,60.4%,42.2%,55.1%,47.5%
9,Mikhail Youzhny [RUS],6,3,66.7%,7,4,3,57.1%,2004,2015,9,0.92,7.0%,2.7%,59.6%,69.0%,50.5%,61.5%,35.3%,50.0%,38.6%
9,Jarkko Nieminen [FIN],4,5,44.4%,3,1,2,33.3%,2005,2014,9,1.01,4.9%,1.8%,62.1%,69.5%,49.2%,61.8%,38.6%,51.9%,42.6%
9,Nikolay Davydenko [RUS],3,6,33.3%,2,1,1,50.0%,2002,2013,8,0.97,3.3%,2.1%,62.6%,67.8%,50.0%,61.1%,37.5%,62.9%,41.2%
8,Roger Federer [SUI],0,8,0.0%,4,0,4,0.0%,2005,2017,8,0.70,6.1%,1.9%,62.5%,63.9%,50.0%,58.7%,29.1%,61.2%,39.1%
8,David Ferrer [ESP],3,5,37.5%,3,2,1,66.7%,2004,2014,8,0.83,4.3%,1.8%,61.1%,63.1%,43.2%,55.4%,36.9%,45.6%,35.5%
7,Andreas Seppi [ITA],2,5,28.6%,2,1,1,50.0%,2005,2018,7,0.86,8.6%,3.2%,57.3%,66.1%,51.1%,59.7%,34.5%,52.0%,40.0%
7,Tommy Robredo [ESP],4,3,57.1%,2,0,2,0.0%,2006,2018,7,1.10,6.8%,1.7%,61.5%,74.4%,49.3%,64.7%,38.9%,60.0%,40.0%
7,Marin Cilic [CRO],2,5,28.6%,2,1,1,50.0%,2010,2017,6,0.88,4.4%,2.7%,65.8%,69.9%,51.3%,63.6%,32.1%,56.3%,33.3%
7,Viktor Troicki [SRB],5,2,71.4%,4,2,2,50.0%,2010,2017,7,1.17,3.5%,1.2%,65.6%,73.3%,53.9%,66.6%,39.2%,60.0%,42.6%
7,Juan Ignacio Chela [ARG],5,2,71.4%,1,1,0,100.0%,2004,2012,6,1.21,4.3%,3.0%,58.0%,69.6%,54.8%,63.4%,44.2%,69.4%,41.7%
6,Philipp Kohlschreiber [GER],3,3,50.0%,0,0,0,-,2003,2017,5,0.87,2.5%,1.4%,65.8%,62.8%,49.5%,58.3%,36.3%,67.6%,37.5%
6,Jo Wilfried Tsonga [FRA],0,6,0.0%,0,0,0,-,2010,2016,6,0.70,4.6%,1.8%,61.6%,61.0%,53.3%,58.1%,29.2%,54.8%,16.7%
6,Albert Montanes [ESP],3,3,50.0%,1,1,0,100.0%,2002,2015,4,1.07,5.9%,2.6%,58.2%,65.4%,46.5%,57.5%,45.4%,55.6%,53.1%
