Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2017 Hamburg F,L vs Mayer,21.6%,33.0%,52.9%,28.3%,32.7%,46.2%,71.4%,44.0%,45.0%,50.0%,57.1%,5.7%,14.3%,33.3%,-57
2016 Eckental CH R32,W vs Setkic,41.8%,49.3%,58.8%,46.4%,68.6%,82.9%,72.7%,77.4%,35.7%,52.4%,50.0%,14.8%,14.8%,52.2%,19
2016 Meerbusch CH QF,W vs Sieber,22.0%,35.4%,48.4%,29.5%,32.0%,52.0%,52.9%,44.4%,52.4%,51.7%,66.7%,6.3%,9.4%,43.3%,-79
2016 Hamburg R32,L vs Cuevas,26.6%,36.7%,37.9%,32.7%,32.1%,43.4%,55.6%,41.1%,56.5%,43.3%,44.4%,15.4%,23.1%,9.1%,-79
2016 Halle F,W vs Zverev,21.4%,27.6%,54.5%,29.4%,27.0%,36.5%,58.7%,39.4%,58.6%,47.1%,0.0%,11.4%,11.4%,48.4%,-79
2016 Halle R32,W vs Baker,44.3%,50.6%,39.5%,48.2%,56.3%,66.7%,42.9%,62.7%,55.0%,53.6%,100.0%,26.7%,26.7%,36.4%,-30
2016 Stuttgart R32,W vs Troicki,41.7%,56.7%,60.0%,48.3%,45.2%,64.3%,69.6%,54.8%,47.6%,38.1%,0.0%,33.3%,38.9%,41.7%,-79
2016 Stuttgart Q2,W vs Bachinger,31.1%,41.9%,52.0%,38.6%,41.5%,51.2%,50.0%,55.1%,30.0%,47.6%,100.0%,18.8%,31.3%,53.8%,-33
2014 Sydney R32,L vs Matosevic,21.1%,25.4%,43.6%,26.6%,29.3%,36.6%,51.7%,38.8%,63.6%,42.1%,50.0%,10.3%,10.3%,34.6%,-29
2013 Metz SF,L vs Tsonga,31.9%,44.7%,44.4%,39.7%,31.1%,49.2%,50.0%,43.1%,44.4%,41.2%,50.0%,34.4%,37.5%,33.3%,-33
2013 Canada R32,L vs Djokovic,21.1%,23.7%,35.7%,25.5%,30.0%,35.0%,42.9%,38.5%,33.3%,63.6%,0.0%,12.5%,12.5%,28.6%,4
2013 Sydney R16,L vs Tomic,35.2%,49.3%,43.5%,43.2%,45.7%,65.2%,52.0%,58.0%,50.0%,37.5%,50.0%,16.0%,20.0%,33.3%,-79
2013 Brisbane R16,L vs Baghdatis,15.4%,26.2%,45.5%,23.7%,20.0%,35.0%,53.1%,33.5%,29.4%,39.1%,16.7%,8.0%,12.0%,34.8%,-79
2011 Brisbane QF,L vs Stepanek,18.3%,23.9%,43.6%,22.1%,27.3%,34.1%,50.0%,33.4%,36.8%,40.0%,25.0%,4.2%,8.3%,34.8%,-76
2010 Stockholm F,L vs Federer,21.1%,35.1%,46.7%,30.2%,22.7%,40.9%,47.1%,34.5%,20.0%,25.0%,50.0%,15.4%,15.4%,45.5%,-79
Career (15 matches),,27.7%,37.5%,47.3%,34.3%,35.6%,49.1%,54.6%,46.2%,45.4%,44.4%,43.4%,15.3%,19.0%,37.9%,-28
