Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2019 Nurnberg R16,L vs Cirstea,8.0%,13.6%,39.7%,8.5%,15.3%,40.7%,70.4%,25.0%,22.2%,9.5%,14.3%,36.8%,54.5%,30.0%,0.0%,-27
Career (1 matches),,8.0%,13.6%,39.7%,8.5%,15.3%,40.7%,70.4%,25.0%,22.2%,9.5%,14.3%,36.8%,54.5%,30.0%,0.0%,-27
