Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),144,435,272,1495,267,1448,276,1422,,,,,,
2025,134,450,224,1537,201,1511,252,1443,,,,,,
2024,502,76,384,1355,369,1318,347,1341,,,369,158,,
2023,282,204,315,1414,344,1327,266,1405,,,,,,
2022,358,132,,,,,,,,,,,,
2021,562,57,,,,,,,,,,,,
2020,733,27,,,,,,,,,630,58,,
2019,952,11,,,,,,,,,398,104,,
2018,633,2,,,,,,,,,783,2,,
2017,525,62,,,,,,,,,655,70,,
2016,833,20,,,,,,,,,1037,26,,
2015,1056,10,,,,,,,,,1282,16,,
2014,,,,,,,,,,,1390,10,,
