Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Australian Open R128,L vs Keys,1.03,0.75,53.4,3.7,2.4%,51.2%,0.0%,41.0%,42.4%,35.7%
2025 Montreux 125 R16,W vs Kostovic,1.09,1.80,44.3,2.3,0.0%,60.0%,0.0%,83.3%,42.1%,52.6%
2019 W15 Prokuplje R32,W vs Saigo,1.34,1.98,30.4,2.1,-,48.4%,-,70.0%,65.4%,54.5%
2019 W15 Heraklion SF,W vs Dalakishvili,0.99,0.92,63.4,4.0,-,34.1%,-,51.2%,59.6%,47.3%
2019 W15 Heraklion R16,W vs Kulambayeva,1.21,1.30,55.2,3.3,-,60.5%,-,48.6%,51.4%,45.7%
2019 W15 Heraklion R32,W vs Akler,1.23,1.29,64.1,2.8,-,43.2%,-,64.1%,52.3%,46.5%
2019 W15 Heraklion R16,L vs Astakhova,1.06,0.89,63.6,6.0,-,40.0%,-,48.7%,52.3%,40.0%
2019 W15 Heraklion R32,W vs Feder,1.30,1.31,71.3,4.5,0.0%,51.2%,0.0%,47.4%,51.6%,50.0%
2019 W15 Antalya R16,L vs Ho,0.92,0.65,41.0,2.2,2.9%,47.1%,0.0%,47.1%,28.6%,46.2%
2019 W15 Antalya R32,W vs Monnet,1.00,1.19,70.6,4.3,0.0%,50.0%,0.0%,62.5%,53.5%,51.3%
2019 W25 Hong Kong R32,L vs Broady,0.82,0.34,29.7,2.0,0.0%,48.1%,0.0%,46.2%,27.3%,15.8%
2017 Heraklion $15K R32,W vs Gheorghita,0.96,1.12,79.6,4.5,0.0%,55.3%,0.0%,50.0%,52.8%,56.9%
2017 Heraklion $15K QF,L vs Bondar,0.87,0.75,52.7,2.4,0.0%,55.3%,0.0%,41.2%,40.0%,48.6%
2017 Heraklion $15K R32,W vs Kulambayeva,0.88,1.75,40.8,2.2,0.0%,63.6%,0.0%,75.0%,67.9%,54.2%
2017 Heraklion $15K R32,W vs Novotna,1.07,1.46,51.3,2.9,0.0%,67.7%,0.0%,55.6%,50.0%,53.6%
2026 (1 matches),,1.03,0.75,53.4,3.7,2.4%,51.2%,0.0%,41.0%,42.4%,35.7%
2025 (1 matches),,1.09,1.80,44.3,2.3,0.0%,60.0%,0.0%,83.3%,42.1%,52.6%
2019 (9 matches),,1.10,1.07,57.2,3.0,0.3%,46.7%,0.0%,54.2%,50.9%,45.2%
2017 (4 matches),,0.95,1.14,59.8,2.8,0.0%,59.4%,0.0%,52.8%,51.7%,53.6%
Career (15 matches),,1.05,1.08,56.9,2.9,0.4%,50.8%,0.0%,54.3%,50.0%,47.6%
