Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1985,,,138,1588,117,1544,,,,,,,,
1984,,,126,1599,119,1536,150,1479,100,1537,,,,
1983,,,76,1695,70,1606,106,1553,70,1594,,,,
1982,,,55,1754,46,1643,74,1614,48,1637,,,,
1981,,,37,1771,35,1649,56,1628,29,1674,,,,
1980,,,52,1710,43,1611,54,1634,37,1646,,,,
1979,,,27,1781,26,1653,26,1686,22,1696,,,,
1978,,,64,1642,58,1533,43,1606,47,1598,,,,
1977,,,43,1713,31,1623,54,1614,,,,,,
1975,,,72,1642,50,1575,83,1550,45,1623,,,,
1974,,,28,1795,21,1689,43,1668,24,1724,,,,
1973,,,71,1606,53,1510,,,60,1554,,,,
