Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Grass,1,0,1,0.0%,0,0,0,-,1982,1982,R64,0,,,,,,,,,,
Roland Garros,7,Clay,8,1,7,12.5%,2,2,0,100.0%,1978,1984,R32,0,,,,,,,,,,
Wimbledon,7,Grass,16,9,7,56.3%,5,2,3,40.0%,1973,1983,R32,0,,,,,,,,,,
US Open,11,Hard,19,8,11,42.1%,4,1,3,25.0%,1973,1984,R32,0,,,,,,,,,,
Dallas,7,Carpet,15,7,8,46.7%,2,2,0,100.0%,1974,1984,SF,0,,,,,,,,,,
Eastbourne,6,Grass,12,6,6,50.0%,2,2,0,100.0%,1974,1983,QF,0,,,,,,,,,,
Mahwah,6,Hard,7,1,6,14.3%,0,0,0,-,1978,1984,R32,0,,,,,,,,,,
Manchester,5,Grass,18,14,4,77.8%,0,0,0,-,1973,1982,W,0,,,,,,,,,,
Phoenix,5,Hard,13,8,5,61.5%,3,2,1,66.7%,1974,1980,W,0,,,,,,,,,,
San Diego,5,Hard,11,6,5,54.5%,2,2,0,100.0%,1979,1985,SF,0,,,,,,,,,,
