Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,12,6,6,50.0%,12-15,44.4%,122-130,48.4%,1-4,20.0%,12,84.4%,16.8%,11.4%,2.1%,65.9%,75.2%,51.9%,67.3%,35.9%,51.0%,1.10
Clay,1,1,0,100.0%,2-1,66.7%,18-12,60.0%,0-1,0.0%,0,,,,,,,,,,,
Grass,1,0,1,0.0%,1-2,33.3%,15-14,51.7%,0-1,0.0%,1,85.7%,21.4%,3.1%,1.0%,66.3%,67.7%,57.6%,64.3%,40.8%,51.1%,1.14
Grand Slams,1,0,1,0.0%,1-3,25.0%,16-21,43.2%,0-0,-,1,77.8%,10.5%,8.0%,2.0%,56.0%,76.8%,54.5%,67.0%,33.3%,49.1%,1.01
Masters,4,1,3,25.0%,3-7,30.0%,46-53,46.5%,0-2,0.0%,4,79.2%,16.3%,7.8%,3.4%,65.6%,72.0%,52.5%,65.3%,35.4%,49.4%,1.02
Other Tours,3,1,2,33.3%,4-5,44.4%,49-47,51.0%,1-3,25.0%,3,91.3%,13.0%,8.9%,1.6%,65.2%,74.5%,51.4%,66.5%,36.0%,50.4%,1.07
Best of 5,6,4,2,66.7%,6-5,54.5%,42-44,48.8%,0-0,-,6,83.6%,20.6%,13.9%,1.2%,66.7%,76.3%,53.2%,68.6%,37.5%,52.7%,1.19
Best of 3,8,3,5,37.5%,9-13,40.9%,113-112,50.2%,1-6,14.3%,7,85.1%,14.7%,8.4%,2.5%,65.4%,73.3%,51.9%,65.9%,35.7%,49.9%,1.05
Finals,1,0,1,0.0%,0-1,0.0%,3-4,42.9%,0-0,-,1,75.0%,0.0%,14.6%,2.1%,79.2%,73.7%,30.0%,64.6%,21.2%,42.0%,0.60
Semi-finals,1,1,0,100.0%,2-0,100.0%,8-6,57.1%,0-0,-,1,77.8%,33.3%,15.9%,0.0%,69.8%,77.3%,47.4%,68.3%,45.5%,56.6%,1.43
vs Righties,11,6,5,54.5%,15-14,51.7%,139-135,50.7%,1-5,16.7%,10,83.8%,18.3%,9.7%,1.9%,63.7%,74.1%,52.6%,66.3%,37.3%,51.2%,1.11
vs Lefties,2,0,2,0.0%,0-3,0.0%,13-17,43.3%,0-1,0.0%,2,78.9%,5.0%,9.2%,3.3%,75.0%,71.1%,43.3%,64.2%,29.5%,45.6%,0.82
