Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,5,2,3,40.0%,4-6,40.0%,37-50,42.5%,0-0,-,5,63.6%,20.9%,4.2%,2.8%,55.4%,62.9%,45.3%,55.1%,36.8%,46.2%,0.82,QF (Canberra 125)
2025,10,7,3,70.0%,16-8,66.7%,131-85,60.6%,1-2,33.3%,10,69.1%,51.6%,2.4%,1.3%,69.6%,63.4%,45.3%,57.9%,50.2%,54.0%,1.19,W (W100 Oeiras)
2023,42,28,14,66.7%,58-36,61.7%,484-390,55.4%,4-6,40.0%,8,72.3%,31.2%,3.8%,2.9%,58.4%,64.2%,50.9%,58.7%,42.5%,50.6%,1.03,W (W100 Takasaki)
2022,41,28,13,68.3%,58-30,65.9%,454-352,56.3%,7-1,87.5%,2,60.0%,37.5%,2.0%,3.1%,71.4%,61.4%,42.9%,56.1%,44.5%,50.0%,1.02,W (2x)
2021,30,17,13,56.7%,38-32,54.3%,334-306,52.2%,5-6,45.5%,4,71.1%,44.7%,4.5%,2.4%,69.4%,57.1%,60.0%,58.0%,47.2%,52.4%,1.12,W (W25 Selva Gardena)
2020,1,0,1,0.0%,1-2,33.3%,15-16,48.4%,0-0,-,0,,,,,,,,,,,,R32 (W25 Nonthaburi)
2019,45,29,16,64.4%,58-36,61.7%,459-376,55.0%,5-3,62.5%,1,60.0%,20.0%,2.9%,2.9%,58.8%,65.0%,35.7%,52.9%,38.4%,45.4%,0.82,W (W25 Wuhan)
2018,34,16,18,47.1%,38-39,49.4%,335-340,49.6%,0-3,0.0%,1,40.0%,42.9%,3.1%,9.2%,52.0%,54.9%,38.3%,46.9%,46.7%,46.8%,0.88,F (Wuhan $25K)
2017,30,15,15,50.0%,33-32,50.8%,303-302,50.1%,3-3,50.0%,1,50.0%,35.7%,1.2%,1.2%,67.9%,54.5%,38.5%,49.4%,43.0%,46.3%,0.85,F (2x)
2016,10,3,7,30.0%,7-15,31.8%,84-115,42.2%,0-1,0.0%,0,,,,,,,,,,,,QF (Anning $10K)
2015,2,1,1,50.0%,2-2,50.0%,18-17,51.4%,0-0,-,0,,,,,,,,,,,,R16 (Jiangmen $10K)
2013,1,0,1,0.0%,1-2,33.3%,11-15,42.3%,0-0,-,0,,,,,,,,,,,,R32 (Hong Kong 10K)
2012,6,2,4,33.3%,4-8,33.3%,51-61,45.5%,0-2,0.0%,0,,,,,,,,,,,,R16 (2x)
2011,6,4,2,66.7%,8-4,66.7%,60-39,60.6%,0-1,0.0%,0,,,,,,,,,,,,F (Yeong Wol 10K)
2010,2,1,1,50.0%,2-2,50.0%,14-19,42.4%,0-0,-,0,,,,,,,,,,,,R16 (Nanjing 10K)
Career,265,153,112,57.7%,328-254,56.4%,2790-2483,52.9%,25-28,47.2%,32,66.7%,38.1%,3.3%,2.6%,63.2%,62.1%,47.6%,56.7%,44.8%,50.7%,1.04,
