Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R128,L vs Swiatek,25.6%,32.9%,34.4%,33.3%,43.8%,40.6%,52.4%,37.0%,33.3%,14.7%,17.6%,27.6%,21.4%,35.0%,60.0%,-104
2025 s Hertogenbosch R16,W vs Birrell,26.1%,36.2%,44.9%,36.2%,48.9%,50.0%,63.6%,48.0%,0.0%,5.0%,10.0%,36.8%,9.1%,66.7%,-,-66
2025 Abu Dhabi R32,L vs Sonobe,26.4%,35.6%,35.9%,26.9%,36.5%,44.7%,29.2%,35.7%,20.0%,25.7%,34.3%,23.1%,44.4%,17.6%,0.0%,-104
2024 Hong Kong R32,W vs Halep,16.7%,25.9%,59.1%,16.2%,29.7%,67.7%,60.0%,50.0%,100.0%,18.8%,18.8%,38.5%,0.0%,85.7%,-,-104
2024 Monterrey QF,L vs Alexandrova,34.1%,48.9%,37.0%,41.1%,58.9%,42.4%,37.9%,48.1%,50.0%,25.0%,35.7%,28.6%,11.1%,52.6%,50.0%,13
2024 Toronto R32,L vs Sabalenka,27.5%,34.8%,28.6%,31.3%,43.8%,45.5%,41.2%,26.7%,25.0%,25.0%,27.8%,14.8%,0.0%,95.0%,100.0%,-71
2024 s Hertogenbosch R16,L vs Andreescu,32.2%,42.4%,38.5%,40.0%,51.4%,47.6%,29.4%,50.0%,66.7%,21.7%,30.4%,27.8%,0.0%,38.5%,50.0%,-54
2024 Rome R128,L vs Wang,17.5%,24.2%,37.8%,16.0%,24.0%,41.3%,38.9%,43.6%,38.5%,20.5%,25.0%,31.4%,10.0%,62.5%,71.4%,-77
2024 Indian Wells QF,L vs Gauff,8.9%,14.3%,42.0%,15.2%,24.2%,50.0%,47.1%,37.5%,33.3%,0.0%,0.0%,31.8%,0.0%,38.5%,0.0%,-119
2024 Indian Wells R16,W vs Kasatkina,6.6%,11.3%,48.0%,10.3%,17.2%,59.6%,41.7%,35.3%,37.5%,2.1%,4.3%,34.8%,0.0%,73.9%,100.0%,-95
2024 Indian Wells R64,W vs Zheng,24.2%,31.8%,50.0%,33.3%,45.5%,40.9%,35.7%,52.6%,40.0%,15.2%,18.2%,57.1%,20.0%,83.3%,-,-104
2024 Austin F,W vs Wang,10.7%,20.0%,49.3%,9.1%,22.7%,55.0%,31.6%,48.0%,80.0%,12.9%,16.1%,40.7%,0.0%,50.0%,100.0%,-104
2024 Austin QF,W vs Wang,21.3%,28.0%,54.4%,25.6%,34.9%,46.9%,31.6%,41.7%,25.0%,16.7%,20.0%,64.0%,7.1%,81.3%,100.0%,-28
2024 Hobart SF,L vs Navarro,28.4%,35.1%,41.5%,34.0%,44.0%,48.5%,52.2%,40.7%,33.3%,16.7%,16.7%,30.0%,27.3%,30.8%,0.0%,-104
2023 Seoul F,L vs Pegula,9.8%,14.8%,39.6%,12.9%,19.4%,48.1%,42.9%,58.8%,50.0%,7.1%,10.7%,30.8%,8.3%,62.5%,75.0%,-42
2023 Australian Open R128,L vs Sakkari,20.9%,26.7%,34.8%,22.0%,30.5%,37.0%,41.4%,36.7%,44.4%,20.0%,20.0%,30.0%,8.3%,46.2%,0.0%,-14
2022 US Open R32,L vs Pegula,12.9%,22.6%,45.7%,18.5%,31.5%,50.0%,60.0%,34.5%,60.0%,5.1%,10.3%,40.5%,0.0%,59.1%,-,-104
2020 Australian Open Q2,L vs Hibino,14.8%,29.6%,47.6%,15.4%,30.8%,48.5%,29.2%,60.0%,66.7%,16.7%,33.3%,46.7%,7.7%,78.3%,100.0%,46
Last 52 Weeks (2 matches),,25.8%,34.4%,39.1%,34.7%,46.3%,45.2%,58.1%,42.3%,16.7%,11.1%,14.8%,31.3%,16.0%,44.8%,60.0%,-61
Career (18 matches),,20.1%,28.4%,42.7%,24.1%,35.1%,48.0%,42.4%,42.8%,40.0%,14.9%,19.6%,35.6%,10.0%,59.6%,66.7%,-57
