Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Australian Open R128,L vs Swiatek,3.6,3.9,3.3,49.0%,37.5%,40.0%,55.6%,52.9%,5.7%,1.0,0.9,-4.0,-4.1
2025 s Hertogenbosch R16,W vs Birrell,3.6,3.9,3.3,56.4%,55.8%,36.4%,66.7%,50.2%,3.9%,17.5,17.5,1.0,1.0
2025 Abu Dhabi R32,L vs Sonobe,3.2,3.4,2.9,46.2%,35.3%,28.6%,60.0%,57.8%,8.8%,-2.0,-2.2,-2.5,-4.1
2024 Hong Kong R32,W vs Halep,4.5,4.2,4.8,52.8%,55.6%,66.7%,55.6%,56.6%,11.2%,23.0,18.3,7.0,8.1
2024 Monterrey QF,L vs Alexandrova,2.8,2.6,3.0,48.8%,40.6%,37.5%,50.0%,42.9%,4.1%,6.0,8.5,4.0,4.3
2024 Toronto R32,L vs Sabalenka,2.8,3.1,2.3,42.5%,33.3%,83.3%,0.0%,43.0%,4.6%,3.5,7.6,-14.0,-23.0
2024 s Hertogenbosch R16,L vs Andreescu,3.2,2.9,3.5,44.2%,37.9%,55.6%,66.7%,56.4%,1.5%,0.5,0.6,-6.5,-10.3
2024 Rome R128,L vs Wang,4.2,4.0,4.4,49.5%,32.7%,44.0%,46.2%,55.3%,4.7%,-3.5,-2.0,-7.0,-4.9
2024 Indian Wells QF,L vs Gauff,3.5,4.4,3.0,41.2%,40.6%,53.8%,70.0%,48.3%,5.7%,-6.0,-6.3,-4.0,-4.1
2024 Indian Wells R16,W vs Kasatkina,6.1,6.5,5.6,41.8%,60.3%,59.3%,45.2%,46.3%,3.9%,21.0,8.9,7.0,2.6
2024 Indian Wells R64,W vs Zheng,3.8,4.3,3.3,53.8%,56.3%,64.3%,54.5%,48.1%,6.3%,8.5,8.6,7.0,6.7
2024 Austin F,W vs Wang,4.3,4.8,3.8,50.0%,52.3%,57.1%,61.5%,51.8%,2.7%,10.5,6.7,4.0,2.8
2024 Austin QF,W vs Wang,5.5,5.1,5.9,56.9%,52.2%,50.0%,60.7%,54.3%,5.8%,25.0,12.8,6.0,3.8
2024 Hobart SF,L vs Navarro,4.1,4.1,4.0,45.8%,41.4%,61.5%,36.4%,55.7%,6.7%,3.5,3.1,-5.0,-6.0
2023 Seoul F,L vs Pegula,4.6,5.2,3.9,32.2%,57.1%,50.0%,45.5%,51.2%,3.8%,-1.5,-1.4,6.0,5.9
2023 Australian Open R128,L vs Sakkari,4.6,5.0,3.8,51.6%,30.3%,40.0%,29.4%,54.6%,0.9%,-2.5,-2.0,-9.5,-8.9
2022 US Open R32,L vs Pegula,5.0,5.5,4.2,36.4%,35.3%,54.5%,30.4%,51.9%,2.0%,-1.5,-0.9,0.0,0.0
2020 Australian Open Q2,L vs Hibino,3.8,3.5,4.1,40.5%,46.8%,50.0%,66.7%,47.3%,3.2%,6.5,5.9,0.0,0.0
Last 52 Weeks (2 matches),,3.6,3.9,3.3,52.3%,48.0%,38.5%,60.0%,51.6%,4.8%,9.3,8.6,-1.5,-1.5
Career (18 matches),,4.1,4.3,3.9,46.7%,45.4%,52.3%,49.1%,51.4%,4.6%,6.1,5.0,-0.6,-0.5
