Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Australian Open R128,L vs Swiatek,69.4%,52.0%,18.1%,4/9,2.55,4.9%,67.4%,41.4%,7.0%,2.60,9.4%,80.8%,66.7%,38.5%,2.51,0.0%
2025 s Hertogenbosch R16,W vs Birrell,72.5%,64.0%,4.3%,0/3,2.41,0.0%,73.5%,58.3%,4.1%,2.34,0.0%,87.5%,78.6%,6.3%,2.51,0.0%
2025 Abu Dhabi R32,L vs Sonobe,68.0%,32.4%,22.0%,9/2,2.38,3.1%,58.1%,33.3%,6.5%,2.31,5.3%,94.1%,31.3%,52.9%,2.47,0.0%
2024 Hong Kong R32,W vs Halep,82.3%,54.9%,3.2%,1/1,2.71,4.5%,78.9%,53.3%,0.0%,2.80,6.5%,91.3%,57.1%,8.7%,2.50,0.0%
2024 Monterrey QF,L vs Alexandrova,60.2%,44.0%,15.7%,6/7,2.42,0.0%,56.9%,41.4%,11.8%,2.53,0.0%,84.0%,47.6%,28.0%,2.25,0.0%
2024 Toronto R32,L vs Sabalenka,59.6%,50.0%,14.9%,4/3,2.54,10.2%,56.0%,42.9%,12.0%,2.62,18.2%,70.0%,57.1%,20.0%,2.47,3.7%
2024 s Hertogenbosch R16,L vs Andreescu,71.2%,40.5%,10.2%,1/5,2.29,17.9%,74.4%,48.3%,0.0%,2.38,23.8%,68.4%,23.1%,31.6%,2.19,11.1%
2024 Rome R128,L vs Wang,78.9%,41.7%,18.4%,9/5,2.33,1.0%,83.3%,35.0%,6.3%,2.33,1.6%,80.0%,55.0%,44.0%,2.32,0.0%
2024 Indian Wells QF,L vs Gauff,51.2%,44.2%,2.4%,0/2,2.03,0.0%,63.5%,39.4%,1.9%,1.98,0.0%,66.7%,60.0%,6.7%,2.10,0.0%
2024 Indian Wells R16,W vs Kasatkina,77.3%,55.9%,9.1%,6/2,2.22,10.2%,84.4%,55.6%,1.6%,2.16,19.2%,77.8%,57.1%,38.9%,2.30,0.0%
2024 Indian Wells R64,W vs Zheng,62.3%,65.1%,4.3%,2/1,2.80,0.0%,57.6%,63.2%,3.0%,2.79,0.0%,80.0%,66.7%,6.7%,2.80,0.0%
2024 Austin F,W vs Wang,71.9%,57.8%,1.1%,1/0,2.44,6.0%,73.7%,57.1%,0.0%,2.52,10.0%,91.7%,59.1%,4.2%,2.32,0.0%
2024 Austin QF,W vs Wang,80.0%,56.3%,2.5%,0/2,2.44,12.3%,78.0%,52.2%,1.7%,2.40,21.9%,100.0%,66.7%,5.6%,2.49,0.0%
2024 Hobart SF,L vs Navarro,68.6%,37.1%,11.8%,2/4,2.55,15.1%,67.6%,40.0%,2.7%,2.56,24.2%,76.9%,30.0%,38.5%,2.55,0.0%
2023 Seoul F,L vs Pegula,71.7%,50.0%,17.0%,5/4,2.87,3.8%,65.4%,47.1%,3.8%,2.90,7.4%,84.0%,52.4%,32.0%,2.84,0.0%
2023 Australian Open R128,L vs Sakkari,67.4%,37.9%,7.0%,1/2,2.27,3.1%,60.9%,21.4%,0.0%,2.22,4.4%,83.3%,53.3%,16.7%,2.38,0.0%
2022 US Open R32,L vs Pegula,63.5%,25.0%,12.7%,5/3,2.69,8.6%,60.0%,16.7%,2.5%,2.47,13.6%,72.7%,37.5%,31.8%,2.95,2.7%
2020 Australian Open Q2,L vs Hibino,69.6%,47.9%,1.4%,0/1,2.56,8.1%,68.5%,48.6%,0.0%,2.47,12.1%,84.6%,45.5%,7.7%,2.66,3.4%
Last 52 Weeks (2 matches),,70.9%,58.0%,11.3%,25.0%,2.49,2.7%,70.7%,50.8%,5.4%,2.47,4.8%,83.3%,71.4%,26.2%,2.51,0.0%
Career (18 matches),,69.3%,48.9%,9.3%,50.0%,2.46,6.0%,69.7%,46.1%,3.4%,2.44,9.6%,82.0%,53.8%,23.4%,2.49,1.1%
