Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Australian Open Q2,W vs Millman,0.0%,-,8.2%,60.0%,6.0%,11.1%,3.1%,5.0%,6.7%,2.1%,50.0%,-87,-64
2023 US Open R128,L vs Dimitrov,3.5%,66.7%,12.3%,64.4%,8.7%,14.0%,6.3%,6.9%,14.3%,1.6%,30.0%,-93,-66
2023 Buenos Aires R32,L vs Thiem,0.0%,-,9.7%,66.7%,4.8%,9.4%,8.3%,6.5%,11.1%,3.4%,63.6%,-89,-71
2023 Davis Cup Qualifiers RR,L vs Van Rijthoven,0.0%,-,6.9%,56.3%,10.2%,14.3%,1.6%,3.4%,8.3%,1.3%,66.7%,-91,-69
2023 Australian Open R128,W vs Wawrinka,0.0%,-,6.4%,71.4%,6.5%,13.5%,7.3%,8.7%,20.0%,2.5%,35.3%,-109,-103
2023 Pune R32,L vs Djere,0.0%,-,4.2%,50.0%,4.3%,8.0%,0.0%,2.8%,12.5%,1.8%,33.3%,-5,-50
2022 Hamburg SF,L vs Alcaraz,4.3%,33.3%,15.1%,57.9%,4.7%,11.1%,0.0%,4.1%,0.0%,6.9%,50.0%,-54,-69
2022 Lyon F,L vs Norrie,0.0%,-,2.7%,40.0%,10.3%,17.2%,100.0%,9.0%,38.5%,2.0%,37.5%,-75,-70
2022 Lyon R16,W vs Khachanov,0.0%,-,6.6%,75.0%,16.1%,15.6%,83.3%,10.2%,25.0%,5.2%,45.5%,-68,-61
2022 Munich R16,L vs Ruud,8.1%,71.4%,13.2%,60.0%,13.0%,30.3%,3.3%,9.8%,35.7%,4.3%,37.5%,-42,-48
2022 Marrakech F,L vs Goffin,1.3%,100.0%,3.8%,83.3%,8.2%,14.8%,8.3%,6.8%,0.0%,3.0%,33.3%,-67,-63
2022 Marrakech SF,W vs Djere,0.0%,-,4.7%,80.0%,4.0%,0.0%,0.0%,2.8%,0.0%,1.9%,25.0%,-155,-100
2022 Dubai R16,L vs Hurkacz,20.0%,70.0%,15.5%,70.6%,9.0%,17.2%,0.0%,6.8%,0.0%,2.1%,0.0%,-19,-3
2022 Australian Open R128,W vs Safiullin,0.0%,-,6.9%,61.9%,10.7%,19.5%,5.2%,6.3%,11.1%,0.8%,0.0%,-87,-77
2022 Melbourne QF,L vs Ruusuvuori,0.0%,-,1.2%,0.0%,9.3%,20.8%,0.0%,1.7%,10.0%,2.4%,0.0%,-20,-18
2021 Belgrade 2 F,L vs Djokovic,0.0%,-,8.1%,44.4%,3.4%,9.5%,0.0%,5.4%,4.8%,4.9%,46.7%,-65,-85
Career (16 matches),,2.0%,66.7%,8.1%,62.9%,8.4%,15.3%,5.3%,6.5%,13.6%,2.6%,38.9%,-78,-69
