Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,832,16,,,,,,,,,,,,
2015,261,174,,,,,,,,,,,,
2014,602,34,,,,,,,,,,,,
2010,666,33,,,,,,,,,,,,
2009,175,329,110,1679,93,1652,95,1623,73,1611,,,,
2008,41,715,39,1856,38,1794,37,1773,25,1738,,,,
2007,12,1942,12,2061,10,1998,7,1978,11,1859,,,,
2006,10,1391,10,2077,9,2004,8,1981,15,1804,,,,
2005,15,1581,9,2140,8,2080,14,1924,22,1759,,,,
2004,75,489,27,1927,23,1871,78,1662,67,1612,,,,
