Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Doha QF,L vs Alcaraz,27.0%,36.9%,54.4%,35.3%,31.6%,44.3%,57.4%,43.3%,62.2%,47.6%,75.0%,16.7%,20.0%,48.0%,16
2025 Canada F,L vs Shelton,16.8%,30.7%,67.1%,25.6%,20.3%,40.6%,64.7%,34.2%,45.2%,48.5%,50.0%,11.4%,14.3%,71.0%,1
2025 Canada SF,W vs Zverev,21.9%,33.3%,57.0%,30.6%,25.0%,42.2%,62.5%,39.2%,58.6%,57.1%,-,18.4%,21.1%,48.4%,32
2025 Canada R16,W vs Ruud,33.3%,46.3%,72.7%,40.9%,43.3%,66.7%,94.1%,57.0%,69.2%,41.2%,0.0%,23.8%,23.8%,50.0%,110
2025 Wimbledon QF,L vs Fritz,23.5%,32.8%,53.5%,28.1%,37.3%,46.3%,54.8%,45.4%,50.0%,56.4%,50.0%,6.4%,17.0%,52.3%,-52
2025 Roland Garros R32,L vs Paul,22.4%,37.0%,49.6%,32.4%,26.9%,48.1%,50.0%,42.7%,81.3%,50.0%,0.0%,15.5%,19.0%,49.0%,-5
2025 Monte Carlo R64,L vs Medvedev,14.3%,20.2%,40.0%,18.8%,16.3%,23.3%,43.1%,22.6%,67.4%,48.8%,27.3%,9.7%,12.9%,32.1%,-18
2025 Australian Open R32,L vs Michelsen,34.9%,47.0%,45.3%,39.2%,44.2%,57.7%,51.7%,51.0%,69.6%,41.4%,0.0%,20.0%,30.0%,37.5%,-30
2025 Australian Open R128,W vs Mannarino,30.9%,44.4%,63.5%,40.1%,39.6%,56.6%,71.9%,53.8%,50.0%,58.6%,100.0%,16.7%,25.0%,50.0%,39
2024 Paris SF,L vs Humbert,33.0%,44.0%,37.9%,38.8%,40.0%,52.3%,43.6%,48.9%,66.7%,55.3%,28.6%,20.6%,29.4%,29.6%,-36
2024 Paris R16,W vs Popyrin,35.3%,52.9%,59.5%,46.0%,37.3%,58.8%,59.4%,51.6%,68.2%,44.8%,66.7%,33.3%,40.0%,60.0%,99
2024 Vienna F,L vs Draper,26.9%,35.8%,43.5%,33.3%,35.6%,46.7%,44.8%,45.1%,40.9%,56.5%,75.0%,10.5%,15.8%,41.2%,-18
2024 Almaty F,W vs Diallo,33.3%,42.0%,49.1%,38.5%,39.7%,50.0%,48.6%,46.9%,60.7%,43.3%,75.0%,18.2%,22.7%,50.0%,-13
2024 Beijing QF,L vs Alcaraz,23.2%,34.1%,41.9%,29.4%,26.4%,43.4%,51.3%,36.0%,50.0%,48.0%,75.0%,17.9%,17.9%,26.1%,-27
2024 US Open R128,L vs Evans,23.4%,37.0%,50.0%,31.0%,30.1%,45.6%,48.6%,43.7%,56.9%,44.2%,50.0%,16.2%,28.4%,51.6%,45
2024 Cincinnati R64,W vs Cerundolo,29.2%,41.7%,61.3%,36.7%,35.5%,54.8%,65.0%,47.1%,47.1%,50.0%,100.0%,21.4%,21.4%,54.5%,76
2024 Rome R16,L vs Tabilo,16.5%,27.8%,53.2%,22.6%,22.4%,34.5%,60.0%,32.6%,53.8%,31.3%,40.0%,8.1%,18.9%,44.1%,-33
2024 Madrid R16,L vs Sinner,28.6%,40.5%,53.3%,33.7%,36.2%,44.8%,48.6%,43.6%,56.0%,54.5%,0.0%,11.5%,30.8%,60.9%,-79
2024 Monte Carlo QF,L vs Tsitsipas,18.4%,28.6%,46.2%,24.9%,21.2%,33.3%,34.6%,30.9%,43.8%,47.1%,66.7%,13.3%,20.0%,69.2%,16
2024 Miami R16,L vs Zverev,26.8%,29.3%,40.0%,31.0%,30.8%,34.6%,50.0%,37.3%,58.3%,50.0%,50.0%,20.0%,20.0%,25.0%,-79
Career (112 matches),,29.2%,39.9%,52.2%,35.6%,37.3%,50.8%,55.5%,47.3%,54.9%,49.0%,42.9%,15.9%,22.3%,47.4%,37
