Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 United Cup RR,L vs Fernandez,0.93,0.56,42.2,2.1,0.0%,51.9%,0.0%,34.8%,36.4%,30.0%
2019 W60 Barcelona R32,W vs Gracheva,1.15,1.12,84.0,11.0,-,51.7%,-,47.4%,53.6%,44.2%
2019 W60 La Bisbal D'Emporda R32,W vs Flink,1.06,1.81,41.0,2.4,-,69.2%,-,65.2%,73.1%,37.5%
2019 W25 Rome R16,W vs Rybakina,1.23,1.57,50.8,2.5,0.0%,47.1%,0.0%,55.2%,66.7%,58.3%
2019 W25 Rome R32,W vs Rame,1.17,1.32,55.1,6.8,0.0%,48.9%,0.0%,59.1%,55.3%,48.5%
2019 W60 Wiesbaden SF,L vs Zavatska,0.97,0.79,57.0,2.1,0.0%,48.6%,2.9%,45.7%,44.4%,41.7%
2019 W60 Wiesbaden QF,W vs Fourlis,1.05,1.35,46.9,2.8,0.0%,44.8%,0.0%,55.6%,65.5%,63.0%
2019 W60 Wiesbaden R16,W vs Paquet,1.11,1.16,64.4,8.4,1.7%,63.8%,0.0%,56.6%,43.5%,39.0%
2019 W60 Wiesbaden R32,W vs Glushko,1.18,1.14,70.2,4.0,4.3%,50.0%,4.5%,54.5%,50.0%,41.7%
2019 W25 Tunis F,L vs Cristian,0.97,0.58,41.9,2.1,0.0%,51.7%,0.0%,40.0%,30.8%,33.3%
2019 W25 Tunis SF,W vs Yerolymos,1.23,1.34,54.3,2.4,0.0%,61.4%,0.0%,58.5%,42.9%,44.0%
2019 W25 Tunis QF,W vs Kan,1.32,1.53,46.9,3.0,0.0%,57.1%,0.0%,65.6%,46.2%,43.5%
2019 W25 Tunis R16,W vs Mironova,1.06,2.02,30.7,2.0,0.0%,68.0%,0.0%,64.0%,68.2%,61.9%
2019 W25 Tunis R32,W vs Cavalle Reimers,1.02,1.26,53.7,2.5,0.0%,70.5%,0.0%,43.9%,51.1%,53.5%
2019 W25 Curitiba R16,L vs Cristian,0.96,0.73,52.3,2.2,0.0%,39.3%,0.0%,36.0%,45.2%,50.0%
2019 W25 Curitiba R32,W vs Goncalves,1.05,1.44,50.7,2.0,0.0%,59.3%,0.0%,60.0%,56.3%,55.2%
2019 W25 Sao Paulo QF,L vs Chirico,0.98,0.72,51.7,3.6,2.3%,52.3%,0.0%,46.5%,32.4%,41.9%
2019 W25 Rancho Santa Fe CA R16,L vs Podoroska,1.08,0.71,46.3,2.2,-,30.3%,-,48.5%,44.0%,34.8%
2019 W25 Surprise AZ QF,L vs Karatantcheva,1.09,0.59,40.9,2.5,0.0%,31.8%,0.0%,21.1%,29.6%,50.0%
2019 W25 Surprise AZ R16,W vs Samir,1.07,2.07,32.5,2.2,4.2%,70.8%,0.0%,66.7%,64.0%,56.5%
2024 (1 matches),,0.93,0.56,42.2,2.1,0.0%,51.9%,0.0%,34.8%,36.4%,30.0%
2019 (25 matches),,1.06,1.11,54.0,2.8,0.7%,55.5%,0.5%,52.1%,49.6%,46.4%
2018 (6 matches),,0.98,1.00,49.8,3.9,0.9%,52.2%,0.9%,55.1%,45.7%,49.8%
2017 (30 matches),,1.01,1.06,52.1,2.5,0.2%,53.4%,0.2%,54.7%,49.2%,47.8%
2016 (49 matches),,1.02,1.14,54.7,2.7,0.8%,56.8%,0.4%,54.5%,49.5%,49.2%
Career (167 matches),,1.02,1.10,53.5,2.6,0.6%,55.0%,0.4%,54.2%,49.2%,48.7%
