Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2025 Toronto R64,L vs Gauff,3.2,3.6,2.7,51.0%,40.4%,76.2%,22.2%,56.8%,3.9%,8.5,5.4,-6.5,-5.5
2025 Wimbledon R32,L vs Swiatek,3.1,3.2,3.1,44.1%,39.1%,22.2%,33.3%,49.2%,4.5%,-7.0,-11.7,-7.0,-11.9
2025 Australian Open R32,L vs Keys,2.8,3.2,2.4,43.3%,60.0%,66.7%,25.0%,65.3%,7.3%,7.5,12.1,4.5,11.8
2024 Guadalajara R16,L vs Gadecki,2.4,2.5,2.3,44.4%,43.5%,40.0%,-,52.4%,4.0%,3.0,6.5,3.0,6.3
2024 US Open R128,L vs Dolehide,3.0,3.2,2.8,52.1%,50.0%,52.9%,50.0%,55.4%,6.3%,7.5,5.7,13.5,13.1
2024 Olympics QF,L vs Swiatek,3.5,3.7,3.4,46.1%,46.5%,53.3%,50.0%,51.5%,6.3%,-2.0,-2.1,14.0,16.1
2024 Wimbledon R16,L vs Krejcikova,3.0,3.1,2.9,43.3%,28.6%,60.0%,100.0%,51.0%,7.8%,-3.5,-4.8,-2.0,-2.8
2024 Roland Garros R64,L vs Danilovic,3.7,3.7,3.6,42.4%,51.9%,68.2%,69.2%,50.8%,7.9%,31.5,22.2,15.0,10.8
2024 Strasbourg F,L vs Keys,3.2,3.2,3.2,42.2%,33.3%,46.2%,0.0%,54.5%,5.4%,-1.0,-1.7,-4.5,-9.0
2024 Strasbourg R16,W vs Siniakova,3.6,4.0,3.1,60.0%,70.8%,87.5%,33.3%,51.2%,17.5%,9.5,15.3,14.5,27.9
2024 Rome SF,L vs Sabalenka,2.8,2.9,2.6,47.6%,36.7%,37.5%,-,54.7%,11.3%,8.5,16.0,0.5,1.1
2024 Rome QF,W vs Azarenka,3.1,3.1,3.1,45.3%,80.0%,50.0%,50.0%,44.0%,10.1%,17.5,27.8,7.0,8.9
2024 Rome R64,W vs Blinkova,3.1,3.5,2.6,59.1%,37.5%,60.0%,50.0%,53.3%,8.6%,9.5,23.8,3.0,9.4
2024 Madrid R16,L vs Sabalenka,3.0,3.1,2.9,52.5%,36.5%,36.4%,100.0%,48.6%,13.1%,17.0,18.9,1.5,1.6
2024 Charleston F,W vs Kasatkina,3.7,3.8,3.6,52.5%,74.4%,58.3%,50.0%,41.8%,2.8%,21.0,30.0,15.0,14.4
2024 Charleston SF,W vs Sakkari,3.2,3.1,3.3,60.6%,65.4%,27.3%,33.3%,38.2%,2.1%,-0.5,-0.9,-5.0,-5.4
2024 Charleston R32,W vs Jabeur,3.6,3.8,3.3,51.0%,46.7%,56.5%,75.0%,54.2%,5.6%,8.5,6.3,8.5,7.5
2024 Miami F,W vs Rybakina,3.3,3.3,3.3,55.4%,45.9%,60.0%,0.0%,44.0%,6.5%,13.5,17.5,4.5,4.5
2024 Miami SF,W vs Alexandrova,3.0,3.4,2.7,64.3%,50.0%,100.0%,20.0%,50.9%,7.1%,16.0,31.4,15.5,29.8
2024 Miami QF,W vs Garcia,3.0,2.9,3.2,59.2%,60.9%,57.1%,100.0%,48.3%,8.2%,2.5,4.7,20.0,37.0
Last 52 Weeks (2 matches),,3.2,3.5,2.8,48.8%,40.0%,60.0%,25.0%,54.5%,4.1%,0.8,0.7,-6.8,-7.6
Career (77 matches),,3.4,3.5,3.3,49.9%,51.6%,51.7%,51.0%,50.3%,5.9%,8.6,9.5,5.9,6.7
