Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,198,117,81,59.1%,262-189,58.1%,2215-1981,52.8%,31-23,57.4%,194,70.5%,35.0%,5.2%,6.1%,56.5%,67.5%,47.9%,58.9%,43.1%,51.1%,1.05
Clay,80,52,28,65.0%,114-68,62.6%,900-749,54.6%,10-3,76.9%,80,68.4%,39.9%,4.8%,6.0%,58.0%,66.6%,46.0%,58.0%,45.6%,51.9%,1.09
Grass,22,11,11,50.0%,26-23,53.1%,227-229,49.8%,1-1,50.0%,22,67.2%,30.2%,4.0%,6.5%,57.9%,65.3%,46.6%,57.4%,40.8%,49.3%,0.96
Grand Slams,76,44,32,57.9%,104-80,56.5%,904-834,52.0%,10-6,62.5%,76,71.3%,32.5%,4.9%,6.0%,57.6%,68.6%,47.1%,59.5%,42.3%,50.9%,1.04
Premiers,110,62,48,56.4%,142-100,58.7%,1171-1063,52.4%,16-11,59.3%,109,67.2%,36.6%,5.1%,6.5%,56.2%,66.2%,46.7%,57.6%,43.8%,50.8%,1.03
Internationals,43,26,17,60.5%,58-38,60.4%,472-389,54.8%,4-4,50.0%,43,69.2%,39.7%,4.8%,5.9%,56.8%,65.3%,47.9%,57.8%,45.0%,51.6%,1.07
Finals,6,4,2,66.7%,8-5,61.5%,67-53,55.8%,0-2,0.0%,6,77.0%,35.1%,6.2%,5.5%,57.0%,69.0%,49.4%,60.6%,43.9%,52.4%,1.12
Semi-finals,18,6,12,33.3%,17-22,43.6%,184-193,48.8%,2-5,28.6%,18,66.8%,30.8%,4.8%,4.7%,56.1%,64.2%,48.5%,57.3%,41.5%,49.5%,0.97
Quarter-finals,32,17,15,53.1%,40-29,58.0%,327-300,52.2%,4-3,57.1%,31,69.9%,32.9%,4.9%,6.3%,56.0%,69.3%,46.6%,59.3%,41.5%,50.5%,1.02
vs Righties,270,162,108,60.0%,361-251,59.0%,2986-2652,53.0%,36-22,62.1%,267,69.4%,36.0%,5.0%,6.0%,57.3%,66.6%,47.5%,58.5%,43.6%,51.2%,1.05
vs Lefties,27,16,11,59.3%,37-27,57.8%,322-281,53.4%,5-5,50.0%,26,72.2%,35.0%,5.0%,6.8%,54.5%,70.7%,46.2%,59.6%,43.1%,51.4%,1.07
vs Top 10,49,16,33,32.7%,47-66,41.6%,479-561,46.1%,6-9,40.0%,49,63.1%,29.4%,4.6%,6.0%,56.3%,64.3%,45.1%,55.9%,40.5%,48.4%,0.92
