Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,8,Hard,28,20,8,71.4%,7,4,3,57.1%,2018,2025,F,28,1.10,5.8%,5.3%,58.7%,70.1%,47.9%,60.9%,43.1%,56.8%,45.5%
Roland Garros,8,Clay,18,10,8,55.6%,3,2,1,66.7%,2018,2025,QF,18,1.05,3.8%,6.3%,58.2%,68.0%,43.3%,57.7%,44.4%,53.2%,47.3%
Wimbledon,8,Grass,17,9,8,52.9%,2,1,1,50.0%,2017,2025,R16,16,1.01,4.4%,6.5%,58.9%,66.8%,48.6%,59.3%,41.2%,61.4%,43.8%
US Open,11,Hard,18,7,11,38.9%,4,3,1,75.0%,2014,2025,R16,17,0.96,5.8%,6.1%,54.6%,68.6%,48.0%,59.2%,39.3%,60.9%,41.4%
Olympics,1,,4,3,1,75.0%,0,0,0,-,2024,2024,QF,4,1.11,3.2%,2.5%,70.0%,67.5%,42.2%,59.9%,44.5%,64.3%,40.5%
Fed Cup,1,,1,1,0,100.0%,0,0,0,-,2019,2019,,1,1.14,3.9%,6.5%,53.2%,70.7%,44.4%,58.4%,47.3%,62.5%,54.5%
Cincinnati,5,Hard,6,1,5,16.7%,1,0,1,0.0%,2018,2025,R32,6,0.77,5.1%,8.0%,57.4%,62.7%,34.3%,50.6%,37.8%,42.9%,35.5%
Montreal,3,Hard,11,8,3,72.7%,2,0,2,0.0%,2021,2025,QF,11,1.12,5.4%,6.9%,54.1%,69.4%,48.4%,59.8%,44.9%,57.8%,45.0%
Washington,2,Hard,2,0,2,0.0%,0,0,0,-,2023,2025,R32,2,0.69,4.5%,18.8%,59.8%,62.7%,28.9%,49.1%,35.1%,30.8%,37.5%
Strasbourg,3,Clay,9,6,3,66.7%,1,1,0,100.0%,2018,2025,F,9,1.13,5.4%,6.0%,59.7%,63.9%,52.6%,59.4%,45.9%,60.0%,51.4%
Rome,5,Clay,16,11,5,68.8%,2,2,0,100.0%,2018,2025,SF,16,1.06,4.6%,6.9%,55.7%,66.5%,43.7%,56.4%,46.2%,58.6%,58.3%
Charleston,4,Clay,14,11,3,78.6%,3,3,0,100.0%,2019,2025,W,14,1.20,5.1%,5.1%,56.7%,67.2%,51.7%,60.5%,47.4%,62.9%,50.0%
