Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Australian Open R128,L vs Nishikori,39.6%,50.9%,45.4%,45.4%,47.7%,62.4%,49.1%,56.7%,47.7%,56.9%,45.5%,27.3%,32.7%,40.0%,47
2024 United Cup RR,L vs Zverev,35.8%,50.9%,48.5%,42.6%,46.9%,65.6%,52.9%,58.1%,50.0%,75.0%,-,20.0%,30.0%,43.8%,-7
2024 Davis Cup World Group RR,L vs Griekspoor,35.8%,41.8%,55.8%,40.9%,38.6%,43.2%,48.1%,46.4%,25.0%,42.9%,50.0%,30.4%,39.1%,68.8%,-79
2024 Roland Garros Q2,W vs Royer,33.3%,46.4%,75.6%,39.3%,38.5%,56.4%,75.0%,49.0%,35.7%,68.0%,-,32.0%,40.0%,76.5%,173
2024 Roland Garros Q1,W vs Dellien Velasco,34.0%,48.9%,61.3%,40.4%,31.3%,50.0%,63.6%,40.6%,33.3%,76.5%,100.0%,40.0%,46.7%,55.6%,-79
2024 Madrid R128,W vs Lajovic,36.0%,52.0%,74.2%,44.2%,40.0%,60.0%,81.0%,51.7%,30.8%,77.3%,-,28.6%,35.7%,60.0%,22
2023 Rio de Janeiro R32,W vs Thiem,25.3%,35.8%,63.2%,30.0%,33.8%,47.7%,60.5%,40.8%,19.2%,69.2%,100.0%,7.4%,11.1%,68.0%,-45
2022 Vienna R32,L vs Dimitrov,38.5%,48.1%,43.8%,44.4%,47.2%,61.1%,52.6%,55.8%,62.5%,35.0%,0.0%,18.8%,18.8%,30.8%,-79
2022 Santiago QF,L vs Baez,34.0%,43.0%,43.5%,37.0%,43.3%,53.3%,35.3%,48.3%,28.6%,56.3%,60.0%,22.2%,30.6%,53.6%,72
2020 Forli CH F,L vs Musetti,21.7%,26.5%,60.3%,29.2%,28.8%,36.5%,70.3%,40.8%,42.9%,58.1%,66.7%,12.5%,12.5%,42.9%,-12
2020 Punta del Este CH F,W vs Cecchinato,25.0%,41.1%,60.9%,33.8%,27.4%,50.7%,66.0%,42.3%,16.7%,74.4%,100.0%,22.0%,28.0%,53.8%,-49
2019 Santo Domingo CH R32,W vs Estrella,27.5%,42.5%,67.9%,37.0%,36.0%,52.0%,75.0%,51.2%,12.5%,64.7%,100.0%,14.3%,28.6%,58.3%,22
2019 Wimbledon R128,L vs Nishikori,34.0%,43.7%,44.8%,40.2%,43.1%,54.2%,43.9%,51.9%,33.3%,51.3%,80.0%,13.3%,20.0%,46.2%,-30
2019 Rio de Janeiro R16,L vs Bedene,11.4%,18.6%,45.9%,16.9%,17.0%,25.5%,53.8%,25.1%,26.3%,82.1%,87.5%,0.0%,4.5%,31.8%,-118
2019 Rio de Janeiro R32,W vs Sousa,28.6%,34.7%,38.2%,31.8%,33.3%,40.0%,40.0%,38.7%,20.0%,60.0%,33.3%,22.2%,27.8%,35.7%,1
2017 Rio de Janeiro QF,L vs Ruud,31.3%,43.3%,51.1%,38.4%,36.4%,52.3%,60.7%,47.0%,28.6%,69.6%,75.0%,22.7%,27.3%,35.3%,-13
2016 Gstaad QF,L vs Haase,29.9%,44.8%,59.6%,37.6%,28.6%,44.9%,57.1%,39.2%,18.2%,74.1%,100.0%,33.3%,44.4%,66.7%,-79
2016 Lyon CH F,L vs Darcis,22.4%,29.9%,45.8%,26.3%,30.3%,42.4%,47.8%,38.2%,28.6%,73.7%,100.0%,16.7%,20.0%,44.0%,16
2016 Sao Paulo QF,L vs Cuevas,31.1%,38.9%,40.7%,35.8%,41.9%,51.6%,47.2%,48.7%,33.3%,76.3%,71.4%,8.0%,12.0%,30.4%,-37
Career (19 matches),,30.5%,41.2%,53.1%,36.5%,37.0%,50.6%,56.1%,46.3%,31.9%,64.7%,71.0%,20.5%,26.4%,48.6%,26
