Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,83,26,57,31.3%,78-140,35.8%,1045-1201,46.5%,21-34,38.2%,79,80.9%,13.1%,8.1%,2.8%,65.0%,72.2%,52.2%,65.2%,31.7%,48.6%,0.91
Clay,138,65,73,47.1%,175-180,49.3%,1750-1767,49.8%,35-27,56.5%,136,79.6%,19.5%,6.0%,2.8%,65.0%,71.3%,51.1%,64.2%,35.0%,49.7%,0.98
Grass,9,2,7,22.2%,8-22,26.7%,144-176,45.0%,3-4,42.9%,9,83.9%,6.3%,7.3%,2.2%,62.5%,72.9%,55.1%,66.3%,25.7%,46.9%,0.76
Grand Slams,32,7,25,21.9%,42-79,34.7%,565-674,45.6%,16-12,57.1%,32,78.9%,12.1%,7.1%,2.8%,64.3%,71.1%,52.0%,64.3%,30.8%,47.8%,0.86
Masters,19,8,11,42.1%,20-24,45.5%,220-223,49.7%,3-7,30.0%,19,86.0%,14.7%,7.8%,2.7%,66.0%,73.6%,55.6%,67.5%,32.1%,49.9%,0.99
Other Tours,154,66,88,42.9%,169-203,45.4%,1822-1901,48.9%,30-36,45.5%,153,79.9%,18.3%,6.6%,2.8%,64.7%,71.6%,51.1%,64.4%,34.4%,49.5%,0.97
Best of 5,36,8,28,22.2%,47-89,34.6%,627-759,45.2%,19-13,59.4%,36,77.9%,12.2%,7.0%,2.9%,64.4%,70.8%,51.3%,63.8%,31.0%,47.7%,0.86
Best of 3,195,86,109,44.1%,216-253,46.1%,2324-2392,49.3%,40-52,43.5%,188,81.0%,17.8%,6.8%,2.7%,65.0%,72.0%,51.9%,64.9%,34.1%,49.6%,0.97
Semi-finals,2,0,2,0.0%,1-4,20.0%,22-30,42.3%,1-0,100.0%,2,80.0%,3.8%,10.8%,1.8%,65.3%,72.5%,48.3%,64.1%,28.8%,46.7%,0.80
Quarter-finals,16,2,14,12.5%,12-29,29.3%,175-219,44.4%,0-3,0.0%,16,73.6%,15.5%,5.4%,2.3%,64.0%,68.1%,50.8%,61.9%,33.3%,47.7%,0.87
vs Righties,189,69,120,36.5%,203-290,41.2%,2371-2604,47.7%,47-57,45.2%,183,79.8%,15.8%,6.8%,2.7%,65.0%,71.5%,51.7%,64.6%,32.9%,48.9%,0.93
vs Lefties,40,24,16,60.0%,58-50,53.7%,557-526,51.4%,12-7,63.2%,39,81.9%,19.7%,7.0%,2.9%,64.2%,72.3%,51.9%,65.0%,35.3%,50.5%,1.01
vs Top 10,12,5,7,41.7%,9-18,33.3%,131-149,46.8%,2-5,28.6%,11,82.5%,10.5%,5.7%,1.9%,66.7%,70.5%,56.6%,65.9%,30.1%,48.1%,0.88
