Date,Tournament,Surface,Rd,,Score
10-Aug-1970,Cranleigh,Grass,F,Patti Hogan [USA] / Penelope Hardgrave [GBR] d. Bloomer / Marilyn Greenwood [GBR],7-5 9-7
27-Mar-1970,Southport England,Clay,F,Bloomer / Joyce Williams [GBR] d. Jill Cooper / Corinne Molesworth [GBR],6-3 6-0
11-Aug-1969,Cranleigh,Grass,F,Lorna Cornell / Mrs Bobby Wilson [GBR] d. Bloomer / Sandra Okin [GBR],3-6 15-13 6-3
02-Jun-1969,Barnes,Grass,F,Jill Cooper / Corinne Molesworth [GBR] d. Bloomer / Lindsey Beaven [GBR],3-6 6-1 6-4
04-Apr-1969,Southport England,Clay,F,Bloomer / Sandra Okin [GBR] d. Cecilie Fleming [NZL] / Janice Townsend [GBR],6-2 6-2
03-Jun-1968,Barnes,Grass,F,Bloomer / Angela Mortimer [GBR] d. Vera Roberts / Jean Knight [GBR],6-0 6-3
08-Aug-1966,Cranleigh,,F,Jean Gladstone / Mrs Turnbull [GBR] d. Bloomer / Donaldson [GBR],6-3 1-6 6-2
30-May-1966,Barnes,Grass,F,Bloomer / Vera Roberts [GBR] d. Ada Bakker / Astrid Suurbeek [NED],6-2 6-1
09-May-1966,Henley,Clay,F,Alison Rigby / Sue Tutt [GBR] d. Bloomer / Rosemary Walsh [USA],10-8 6-2
03-Apr-1961,Roehampton,Clay,F,Pat Hird / Caroline Yates Bell [GBR] d. Bloomer / Angela Mortimer [GBR],3-6 6-4 6-2
13-Feb-1961,London,Carpet,F,Deidre Catt / Angela Mortimer [GBR] d. Bloomer / Vera Roberts [GBR],11-9 6-0
08-Aug-1960,Cranleigh,,F,Bloomer / Caroline Yates Bell [GBR] d. Mrs Turnbull / P Wright [GBR],6-0 6-0
01-Aug-1960,Weybridge,Grass,F,Bloomer / Rosemary Walsh [USA] d. Mrs Turnbull / P Wright [GBR],6-1 6-2
25-Jul-1960,Bedford,Grass,F,Bloomer / Angela Mortimer [GBR] d. Mrs B Bean / M Dickerson [GBR],6-1 6-0
10-Jun-1960,Wightman Cup,Grass,RR,Bloomer / Christine Truman [GBR] d. Janet Hopps / Dorothy Knode [USA],6-4 9-7
02-May-1960,Rome,Clay,F,Margaret Hellyer [AUS] / Yola Ramirez [MEX] d. Bloomer / Ann Jones [GBR],6-4 6-4
25-Apr-1960,Bournemouth,Clay,F,Ann Jones / Angela Mortimer [GBR] d. Bloomer / Christine Truman [GBR],6-3 4-6 8-6
18-Apr-1960,Reggio Calabria,Clay,F,Bloomer / Ann Jones [GBR] d. Vera Roberts / Pat Wheeler [GBR],6-1 5-7 6-3
14-Apr-1960,Southport England,Clay,F,Elaine Watson / Elizabeth Starkie [GBR] d. Bloomer / Rita Bentley [GBR],6-3 6-0
21-May-1957,Roland Garros,Clay,F,(1) Bloomer / Darlene Hard [USA] d. Yola Ramirez [MEX] / Rosie Reyes [FRA],7-5 4-6 7-5
