Date,Tournament,Surface,Rd,,Score
11-Aug-1969,Cranleigh,Grass,F,Bloomer / Freddy Field [GBR] d. S Ballard / Peter Clarke [GBR],6-4 6-2
25-Jul-1960,Bedford,Grass,F,Bloomer / Michael Sangster [GBR] d. Pat Stewart [USA] / David Samaai [RSA],6-3 9-7
30-May-1960,Manchester,Grass,F,Bloomer / Billy Knight [GBR] d. Darlene Hard [USA] / Martin Mulligan [AUS],6-4 4-6 7-5
25-Apr-1960,Bournemouth,Clay,F,Bloomer / Billy Knight [GBR] d. Sheila Armstrong / Tony Pickard [GBR],6-4 7-5
14-Apr-1960,Southport England,Clay,F,Bloomer / Mark Otway [NZL] d. Elaine Watson / Charlie Applewhaite [GBR],3-6 6-3 6-0
04-Apr-1960,Hampstead,Clay,F,Bloomer / Mark Otway [NZL] d. Vera Roberts / Mike Hann [GBR],5-7 6-1 6-3
15-Feb-1960,Bournemouth Indoors,Carpet,F,Bloomer / Billy Knight [GBR] d. Ann Jones / Tony Pickard [GBR],W/O
13-Jul-1959,Frinton-on-Sea,Grass,F,Bloomer / Mark Otway [NZL] d. Anne Shilcock [GBR] / Lew Gerrard [NZL],7-5 4-6 8-6
20-Apr-1959,Bournemouth,Clay,F,Bloomer / Billy Knight [GBR] d. Christine Truman / Michael Davies [GBR],W/O
28-Aug-1958,Athens,Clay,F,Bloomer / Nicola Pietrangeli [ITA] d. Renata Ostermann [FRG] / Wilhelm Bungert [GER],6-2 3-6 6-3
25-Aug-1958,Istanbul,,F,Bloomer / Nicola Pietrangeli [ITA] d. Aline Nenot / Pierre Darmon [FRA],11-9 8-6
20-May-1958,Roland Garros,Clay,F,Bloomer / Nicola Pietrangeli [ITA] d. (2) Lorraine Coghlan / Bob Howe [AUS],9-7 6-8 6-2
06-May-1958,Rome,Clay,F,Bloomer / Giorgio Facchini [ITA] d. Thelma Long [AUS] / Luis Ayala [CHI],4-6 6-2 9-7
28-Apr-1958,Hurlingham,Clay,F,Bloomer / Tony Pickard [GBR] d. Sheila Armstrong / Reginald Bennett [GBR],9-7 6-3
21-Apr-1958,Bournemouth,Clay,F,Bloomer / Billy Knight [GBR] d. Ann Jones / Roger Becker [GBR],W/O
30-Jan-1958,Helsinki,Carpet,F,Bloomer / Alan Mills [GBR] d. Ann Jones / Reginald Bennett [GBR],UNK
09-Sep-1957,Toronto O'Keefe,Clay,F,Bloomer / Robert Wilson [GBR] d. Sachiko Kamo / Kosei Kamo [JPN],6-1 6-2
04-Jul-1957,Bastad,Clay,F,Bloomer / Roy Emerson [AUS] d. Yola Ramirez [MEX] / Alejandro Olmedo [PER],6-4 4-6 7-5
13-May-1957,Wiesbaden,Clay,F,Bloomer / Sven Davidson [SWE] d. Erika Vollmer [GER] / Hugh Stewart [USA],6-8 6-1 6-4
06-May-1957,Rome,Clay,F,Thelma Long [AUS] / Luis Ayala [CHI] d. Bloomer / Bob Howe [AUS],6-1 6-1
